source,target,weight,text_unit_ids
A C L,A-CTIVE ACCIDENTS,6.881538724700224e-06,[0]
A C L,ADMIRABLE PEECES,6.881538724700224e-06,[0]
A C L,ADOBE PDF,6.881538724700224e-06,[0]
A C L,AGE,3.42946558217448e-06,[0]
A C L,AGENT,6.881538724700224e-06,[0]
A C L,AGENT COMMUNICATETH,6.881538724700224e-06,[0]
A C L,AIRE,6.881538724700224e-06,[0]
A C L,AL,3.42946558217448e-06,[0]
A C L,ALEXANDER,3.42946558217448e-06,[0]
A C L,ALITER,6.881538724700224e-06,[0]
A C L,ALMAGEST,6.881538724700224e-06,[0]
A C L,AMSTERDAM,6.881538724700224e-06,[0]
A C L,ANIMALS,6.881538724700224e-06,[0]
A C L,ANTICHRIST,6.881538724700224e-06,[0]
A C L,ANTIENT,6.881538724700224e-06,[0]
A C L,ANTONINE,6.881538724700224e-06,[0]
A C L,APOLOGY,6.881538724700224e-06,[0]
A C L,APPARATIONS,6.881538724700224e-06,[0]
A C L,ARISTOTLE,3.42946558217448e-06,[0]
A C L,ARMOUR,6.881538724700224e-06,[0]
A C L,ART,3.42946558217448e-06,[0]
A C L,ARTE NOTORIA,6.881538724700224e-06,[0]
A C L,ARTIFICE,6.881538724700224e-06,[0]
A C L,ARTIFICIAL COMPOSITION,6.881538724700224e-06,[0]
A C L,ARTIFICIAL EXPERIMENTS,6.881538724700224e-06,[0]
A C L,ARTIFICIAL INSTRUMENTS,6.881538724700224e-06,[0]
A C L,ARTIFICIAL MEANS,6.881538724700224e-06,[0]
A C L,ARTIFICIAL OPERATIONS,6.881538724700224e-06,[0]
A C L,ARTIFICIAL OPERATIONS IMBRACE,6.881538724700224e-06,[0]
A C L,ASTRONOMICAL INSTRUMENTS,6.881538724700224e-06,[0]
A C L,AUTHOURS,6.881538724700224e-06,[0]
A C L,AVICEN,6.881538724700224e-06,[0]
A C L,BACON,6.881538724700224e-06,[0]
A C L,BACONS,6.881538724700224e-06,[0]
A C L,BAD EFFECTS,6.881538724700224e-06,[0]
A C L,BARE EXTERNAL FORME,6.881538724700224e-06,[0]
A C L,BARE GENERATION,6.881538724700224e-06,[0]
A C L,BASILISK,6.881538724700224e-06,[0]
