title,type,description,text_unit_ids,frequency
VERDANTIS,ORGANIZATION,"[""Verdantis's Central Institution is the Federal Reserve of Verdantis, setting interest rates on Monday and Thursday""]",['0'],1
CENTRAL INSTITUTION,ORGANIZATION,"['The Central Institution is the Federal Reserve of Verdantis, setting interest rates on Monday and Thursday']",['0'],1
MARTIN SMITH,PERSON,"['Martin Smith is the chair of the Central Institution', 'Martin Smith is mentioned in the text']","['0', '1']",2
MARKET STRATEGY COMMITTEE,ORGANIZATION,"[""The Central Institution committee makes key decisions about interest rates and the growth of Verdantis's money supply"", 'Committee mentioned in the text']","['0', '1']",2
DR. ALAN R. YOUNG,PERSON,"['Dr. Alan R. Young is the individual who transcribed, printed, and published the document privately in Caen, France']",['0'],1
T.M.,PERSON,"[""T.M. is the individual who translated the document out of Dr. Dee's copy""]",['0'],1
JOHN WECKER,PERSON,['John Wecker is the Doctor of Physick who first designed the 18 Books of the Secrets of Arts & Nature'],['0'],1
DR. R. READ,PERSON,['Dr. R. Read is the individual who enlarged the 18 Books of the Secrets of Arts & Nature'],['0'],1
JOHN BALLEUS,PERSON,['John Balleus reported that Roger Bacon had incredible knowledge in the Mathematicks without Necromancy'],['0'],1
NICHOLAS THE FOURTH,PERSON,"[""Nicholas the Fourth, Pope of Rome, condemned Roger Bacon's Doctrine in many things and kept him in prison for many years""]",['0'],1
JOHN GERHARD VOSSIUS,PERSON,"['John Gerhard Vossius wrote a Book of the four Popular Arts in Amsterdam in 1650, full of praises of Roger Bacon']",['0'],1
ROGER BACON,PERSON,"['Roger Bacon was an Englishman, a Monk of the Order of St. Francis, and a very quick Philosopher and famous Divine']",['0'],1
GABRIEL POWEL,PERSON,['Gabriel Powel wrote a Book of Antichrist and praised Roger Bacon in the Preface'],['0'],1
JOHN PECUS EARL OF MIRANDULA,PERSON,['John Pecus Earl of Mirandula called Roger Bacon very ingenious'],['0'],1
MORANLICUS,PERSON,"[""Moranlicus commended highly Roger Bacon's Opticks""]",['0'],1
CONSTANTINE THE PHYSICIAN,PERSON,['Constantine the Physician defended the hanging of Charms or Figures about the Neck'],['0'],1
AVICEN,PERSON,['Avicen observed the obedience of the nature of the body to the thoughts of the heart'],['0'],1
SOLOMON,PERSON,['Solomon is mentioned as a famous Author of certain Books in the text\nSolomon is mentioned as a famous'],['0'],1
ISAAC,PERSON,"['Isaac said, ""The rational soul is not impeded in its operations, unlesse by the Manicles of ignorance""']",['0'],1
ALEXANDER,PERSON,['Alexander used Glasses to view the secrets of the deeps'],['0'],1
GIDEON,PERSON,['Gideon overcame a vast Army of the Midianites with three hundred men'],['0'],1
PTOLOMIES,PERSON,['Ptolemies framed a spherical Engine in the Almagest'],['0'],1
OCTAVIUS AUGUSTUS,PERSON,"[""Octavius Augustus inquired about Pollio's longevity"", ""Octavius Augustus inquired about Pollio's longevity secret""]","['0', '1']",2
POLLIO,PERSON,"['Pollio lived longer than usual and used Oyl without and Mulsum within to prolong his life', 'Pollio is a man known for his strong body and mind, living longer than usual, with an enigmatic secret to his longevity involving the use of oil and mulsum']","['0', '1']",2
PLINY,PERSON,['Pliny reported various examples of longevity and methods to prolong life'],['0'],1
VERDANTIS,GEO,['Location mentioned in the text'],['1'],1
CENTRAL INSTITUTION,,[''],['1'],1
MONDAY,EVENT,['Day mentioned in the text'],['1'],1
THURSDAY,EVENT,['Day mentioned in the text'],['1'],1
POLICY DECISION,EVENT,['Event mentioned in the text'],['1'],1
PRESS CONFERENCE,EVENT,['Event mentioned in the text'],['1'],1
