title,frequency,text_unit_ids
A C L,1,[0]
A-CTIVE ACCIDENTS,1,[0]
ABRAHAM,1,[1]
ABSTUSER PARTS,1,[1]
ACCIDENTAL,1,[1]
ACCIDENTAL PASSIONS,1,[1]
ACUTE THINGS,1,[1]
ACUTE WATER,1,[1]
ACUTE WATERS,1,[1]
ADAM,1,[1]
ADJUNGE,1,[1]
ADMIRABLE PEECES,1,[0]
ADMIRABLE SPLENDOUR,1,[1]
ADOBE PDF,1,[0]
ADVERG,1,[1]
AERY HUMOUR,1,[1]
AFTER,1,[1]
AGE,2,"[0, 1]"
AGENT,1,[0]
AGENT COMMUNICATETH,1,[0]
AGREEMENT,1,[1]
AIRE,1,[0]
AL,2,"[0, 1]"
AL-,1,[1]
ALBUMAZAR,1,[1]
ALEXANDER,2,"[0, 1]"
ALIO EXEMPLO,1,[1]
ALITER,1,[0]
ALKALI,1,[1]
ALMAGEST,1,[0]
ALMANNUS,1,[1]
ALMONDS,1,[1]
ALPHABETICALLY DIGESTED,1,[1]
AMERICA,1,[1]
AMSTERDAM,1,[0]
ANATOMY,1,[1]
ANDREWS,1,[1]
ANGLICE,1,[1]
ANIMALS,1,[0]
ANTICHRIST,1,[0]
ANTIDOTE,1,[1]
ANTIENT,1,[0]
ANTIQUIT,1,[1]
ANTONINE,1,[0]
APOLOGY,1,[0]
APPARATIONS,1,[0]
APPOONIUS,1,[1]
AQUA,1,[1]
AR-,1,[1]
ARABIANS,1,[1]
ARGENTUM,1,[1]
ARGENTUM VIVUM,1,[1]
ARISTOTLE,2,"[0, 1]"
ARMONIACK,1,[1]
ARMOUR,1,[0]
ARS NOTORIA,1,[1]
ARSNICK,1,[1]
ART,2,"[0, 1]"
ART NATURE,1,[1]
ARTE NOTORIA,1,[0]
ARTESIUS,1,[1]
ARTIFICE,1,[0]
ARTIFICIAL COMPOSITION,1,[0]
ARTIFICIAL EXPERIMENTS,1,[0]
ARTIFICIAL INSTRUMENTS,1,[0]
ARTIFICIAL MEANS,1,[0]
ARTIFICIAL OPERATIONS,1,[0]
ARTIFICIAL OPERATIONS IMBRACE,1,[0]
ASSE,1,[1]
ASSISTANCE,1,[1]
ASTROLOGERS,1,[1]
ASTROLOGY THEOLOGIZED,1,[1]
ASTRONOMICAL INSTRUMENTS,1,[0]
ASTRONOMY,1,[1]
ATRIMENTUM,1,[1]
ATTI,1,[1]
ATTRAMENTIS,1,[1]
AULUS GELLIUS,1,[1]
AUTHOURS,1,[0]
AVERRHO,1,[1]
AVICEN,1,[0]
BABES,1,[1]
BACON,1,[0]
BACONS,1,[0]
BAD EFFECTS,1,[0]
BAJULUS REGIS SICILIE,1,[1]
BALL,1,[1]
BARE EXTERNAL FORME,1,[0]
BARE GENERATION,1,[0]
BASILISK,1,[0]
BE,1,[0]
BEAST,1,[0]
BEGET SONNES,1,[1]
BIBLE,1,[1]
BIRTH,1,[1]
BODIES,1,[0]
BODY,1,[0]
BRASS,1,[1]
BRETHERN,1,[1]
BRIDGES,1,[0]
BRITAIN,1,[0]
BRITANNY,1,[1]
BUBULIO FACTUS EST,1,[1]
BURN BACKWARD,1,[0]
BUSIE AMONGST,1,[1]
C O,1,[0]
CA-,1,[1]
CABINET UNLOCKT,1,[1]
CAEN,1,[0]
CALDEES,1,[1]
CALX,1,[1]
CAMPHORE,1,[1]
CANTICLES,1,[1]
CAPTIVE,1,[1]
CASTLES,1,[0]
CAUSE,1,[0]
CAUSES,1,[0]
CAVERNS,1,[0]
CELESTIAL BODIES,1,[0]
CENSURES,1,[1]
CEREMONIES,1,[1]
CERTAIN BOUNDS,1,[0]
CERTAIN LIQUOR,1,[1]
CERTAIN PRAYERS,1,[0]
CERTAIN STONE,1,[0]
CHAP,1,[0]
CHAPTER BOOKS,1,[1]
CHAPTERS,1,[0]
CHARACTERS,1,[1]
CHARIOT,1,[0]
CHARITY,1,[1]
CHARLES,1,[1]
CHARMES,1,[0]
CHARMS,1,[0]
CHAWBUT,1,[1]
CHIRURGERY,1,[1]
CHLOE,1,[1]
CHRIST,1,[1]
CHRIST-CHURCH CANT,1,[1]
CHRISTENDOME,1,[1]
CHURCH-YARD,1,[1]
CHURCHES,1,[0]
CHYMISTRY,1,[1]
CHYRURGERY,1,[1]
CHYRURGION,1,[1]
CIVIL POLICY,1,[1]
CLAVEM,1,[1]
CLAVES,1,[1]
CLEAR DISCOVERY,1,[1]
CLIVIA,1,[1]
CLOWNS,1,[1]
COELESTIAL NATURE,1,[1]
COFFERS,1,[0]
COLLATIONE SAPIENTUM,1,[1]
COLOURS,1,[0]
COMBATE,1,[1]
COMEDY,1,[1]
COMFORT OTHERS,1,[0]
COMMON ACCOUNT,1,[1]
COMMON CONCEPTION,1,[1]
COMMON OIL,1,[1]
COMMON THINGS,1,[1]
COMPA-,1,[0]
COMPANION,1,[1]
COMPETENT QUANTITY,1,[0]
COMPLEAT LIE,1,[0]
COMPLEAT SILVER,1,[0]
COMPLEXION,1,[0]
CONCERNING,1,[0]
CONFESSION,1,[1]
CONGREGATIONALL,1,[1]
CONJUNCTIVE SUBSTANCE,1,[1]
CONJURATIONS,1,[0]
CONQUEROUR,1,[1]
CONQUEST,1,[1]
CONSIDERABLE POINTS,1,[1]
CONSIDERATION WHEREOF,1,[0]
CONSTANTINE,1,[0]
CONSTANTINES,1,[0]
CONSTELLATION,1,[0]
CONTAGIOUS INFIRMITIES,1,[0]
CONTERMINA,1,[1]
CONTRARY THING,1,[1]
COPY,1,[0]
CORPORAL DANGER,1,[0]
CORPOREAL FIGURES,1,[0]
