title,frequency,text_unit_ids
ACCUSTOM,1,[0]
ANNOYANCE ENSUES,1,[0]
CERTAIN UNDERSTANDING,1,[0]
COMMON SENSE,1,[0]
COSTLY DIET,1,[0]
COSTLY FARE,1,[0]
DEATH,1,[0]
DEPRECATE LIFE,1,[0]
DESTINY,1,[0]
FAINT HOPE,1,[0]
FALSE ASSUMPTIONS,1,[0]
FEARS DEATH,1,[0]
GOD,1,[0]
GOOD END SPEAKS,1,[0]
GOOD THING,1,[0]
GOOD THINGS,1,[0]
GROUNDLESS PAIN,1,[0]
HADES,1,[0]
HAPPY LIFE,1,[0]
HUNGRY LIPS,1,[0]
IMMORTAL BLESSINGS,1,[0]
INEXPENSIVE DIET SUPPLIES,1,[0]
LONG TIME,1,[0]
LUXURIOUS TABLE,1,[0]
NATIVE GOOD,1,[0]
NATURAL PHILOSOPHERS,1,[0]
NECESSARY DESIRES,1,[0]
NECESSARY REQUIREMENTS,1,[0]
NECESSITY DESTROYS RESPONSIBILITY,1,[0]
OUTWARD THINGS,1,[0]
OWN ACTIONS,1,[0]
OWN AGENCY,1,[0]
OWN GOOD QUALITIES,1,[0]
PLAIN,1,[0]
PLEASANT LIFE,1,[0]
POSSIBLE PLEASURE,1,[0]
PRECEPTS DAY,1,[0]
PRECIOUS THING,1,[0]
REASON PRUDENCE,1,[0]
RIGHT LIFE,1,[0]
RIGHT UNDERSTANDING,1,[0]
SEARCH THEREOF,1,[0]
SOBER REASONING,1,[0]
SUCCESSFUL ISSUE,1,[0]
SWEETEST ENJOYMENT,1,[0]
TIME PEOPLE SHUN DEATH,1,[0]
TRUE PRECONCEPTIONS,1,[0]
UNBROKEN SUCCESSION,1,[0]
WATER CONFER,1,[0]
WISE PERSON,1,[0]
