title,frequency,text_unit_ids
AARON,1,[0]
ABIMELECH,1,[0]
ABRAHAM,1,[0]
ACTUAL VOICE,1,[0]
ACTUAL WORDS,1,[0]
ADAMANT STONE,1,[0]
AMOS,1,[0]
ANGELIC APPARITIONS,1,[0]
APOSTLES,1,[0]
ASSYRIA,1,[0]
BALAAM,1,[0]
BEHOLD,1,[0]
BENEDICT,1,[0]
BEZALEEL,1,[0]
BIBLE,1,[0]
BLOW THENCE,1,[0]
BODILY APPETITES,1,[0]
BODILY FORMS,1,[0]
BODILY MEANS,1,[0]
BRAVE MIND,1,[0]
BREAD,1,[0]
CERTAIN CHURCHES,1,[0]
CERTAIN KNOWLEDGE,1,[0]
CHAP,1,[0]
CHERUBIM,1,[0]
CHIEF MEN BEHELD,1,[0]
CHIEF PURPOSE,1,[0]
CHRIST,1,[0]
CHRON,1,[0]
CLEAN HEART,1,[0]
CLEAR CONFIRMATION,1,[0]
CREATE,1,[0]
CURRENT IDEAS,1,[0]
DANIEL,1,[0]
DARK SPEECHES,1,[0]
DAVID,1,[0]
DECALOGUE,1,[0]
DEEP SLEEP,1,[0]
DEITY,1,[0]
DERIVATIVE SIGNIFICATIONS,1,[0]
DEUT,1,[0]
DEUTERONOMY,1,[0]
DISTINCT WORDS,1,[0]
DIVINE,1,[0]
DOUBTLESS,1,[0]
ECCLES,1,[0]
EGYPT,1,[0]
ELI,1,[0]
ENDNOTE,1,[0]
EOLUS,1,[0]
ESPECIAL CONSTANCY,1,[0]
ETERNAL LAWS,1,[0]
ETERNAL THOUGHTS,1,[0]
EVIL SPIRIT,1,[0]
EX,1,[0]
EXACT SIGNIFICATION,1,[0]
EXODUS,1,[0]
EXPRESSIONS SPIRITS,1,[0]
EXTRAORDINARY POWER,1,[0]
EZEK,1,[0]
EZEKIEL,1,[0]
FELLOW MEN,1,[0]
FIERY TONGUES,1,[0]
FLOWER FADETH,1,[0]
FUTURE CALAMITIES,1,[0]
FUTURE LORDSHIP,1,[0]
GENESIS,1,[0]
GIDEON,1,[0]
GOD,1,[0]
GOD HIMSELF,1,[0]
GOD WHO,1,[0]
GOMORRAH,1,[0]
GOOD IMPULSES,1,[0]
GRASS WITHERETH,1,[0]
GREAT LIGHT,1,[0]
GREEK WIND-GOD,1,[0]
HAGGAI,1,[0]
HEBREW,1,[0]
HEBREW GOD,1,[0]
HEBREWS,1,[0]
HIGH COURAGE,1,[0]
HIGH MOUNTAINS,1,[0]
HIM,1,[0]
HIMSELF,1,[0]
HINDER PARTS,1,[0]
HOSTS HATH,1,[0]
HUMAN BODIES,1,[0]
HUMAN MIND,1,[0]
HUMAN NATURE,1,[0]
IMAGES RECALL,1,[0]
IMMEDIATE CAUSES,1,[0]
IMPIOUS ROBBERS,1,[0]
INASMUCH,1,[0]
INDIVIDUAL ORGANISM,1,[0]
INDIVIDUAL VIRTUE,1,[0]
INTELLECTUAL CERTAINTY,1,[0]
INTERCHANGE IDEAS,1,[0]
ISA,1,[0]
ISAAC,1,[0]
ISAIAH,1,[0]
ISRAEL,1,[0]
ISRAELITES,1,[0]
JEWS,1,[0]
JOB,1,[0]
JOSEPH,1,[0]
JOSH,1,[0]
JOSHUA,1,[0]
JOYFUL MESSENGER,1,[0]
JUDGES,1,[0]
LEBANON,1,[0]
LEVIT,1,[0]
LOFTY SPIRIT,1,[0]
LOFTY THRONE,1,[0]
LORD BLOWETH,1,[0]
LORD HATH,1,[0]
MAIN OBJECT,1,[0]
MAN ACTS,1,[0]
MAN SPEAKS,1,[0]
MANNER MIRACLES,1,[0]
MANOAH,1,[0]
MEMORABLE OVERTHROW,1,[0]
MEN,1,[0]
MERCY SEAT,1,[0]
MERE NAME,1,[0]
MERE NONSENSE,1,[0]
MICAH,1,[0]
MIND,1,[0]
MOSAIC,1,[0]
MOSES,1,[0]
MYSTERY LURKS,1,[0]
NATIONAL STANDARD,1,[0]
NATURAL EVENTS,1,[0]
NATURAL FACULTIES,1,[0]
NATURAL KNOWLEDGE,1,[0]
NATURAL LAWS,1,[0]
NATURAL ORGAN,1,[0]
NATURAL PHENOMENA,1,[0]
NATURE,1,[0]
NEBUCHADNEZZAR,1,[0]
NEHEMIAH,1,[0]
NUM,1,[0]
NUMBERS,1,[0]
OLD LAW,1,[0]
OLD MAN,1,[0]
OLD MEN,1,[0]
ORDINARY KNOWLEDGE,1,[0]
OWN INVENTIONS,1,[0]
OWN SPIRIT,1,[0]
PARTICULAR CAUSES,1,[0]
PARTICULAR LAW,1,[0]
PARTICULAR QUARTER,1,[0]
PAUL,1,[0]
PERFECT MIND,1,[0]
PHARAOH,1,[0]
POETIC LANGUAGE,1,[0]
POPULAR IGNORANCE,1,[0]
PROPHECY,1,[0]
PROPHECY IMPLIES,1,[0]
PROPHETIC KNOWLEDGE,1,[0]
PROV,1,[0]
PROVIDENCE,1,[0]
PS,1,[0]
PSALMIST,1,[0]
PURE INTUITION,1,[0]
PURE INTUITION COMPREHEND IDEAS,1,[0]
REAL VOICE,1,[0]
RIGHT SPIRIT,1,[0]
SAM,1,[0]
SAMSON,1,[0]
SAMUEL,1,[0]
SAUL,1,[0]
SCRIPTURAL,1,[0]
SCRIPTURE,1,[0]
SENSE EXPOUNDS,1,[0]
SHARE THEREIN,1,[0]
SHILOH,1,[0]
SIMILAR EXAMPLES,1,[0]
SIMPLE FAITH,1,[0]
SINAI,1,[0]
SODOM,1,[0]
SOLE OBJECT,1,[0]
SOLOMON,1,[0]
SPINOZA,1,[0]
SPIRIT,1,[0]
SPIRIT HUMILITY,1,[0]
SPIRITUAL TRUTHS,1,[0]
SUCH COMMENTATORS,1,[0]
SUCH THINGS,1,[0]
SUPERHUMAN MINDS,1,[0]
SUPERLATIVE DEGREE,1,[0]
SUPERNATURAL VOICE,1,[0]
SURE KNOWLEDGE,1,[0]
SURE MENTAL LAWS,1,[0]
TALL MEN,1,[0]
TEN COMMANDMENTS,1,[0]
THOU,1,[0]
THY,1,[0]
THY BROTHER,1,[0]
THY GOOD,1,[0]
THY PROPHET,1,[0]
THY SPIRIT,1,[0]
TRANSCENDENTAL TERM,1,[0]
ULTIMATE NATURAL FACTS,1,[0]
UNIQUE SPECIMEN,1,[0]
UNUSUAL NATURAL PHENOMENA,1,[0]
UNUSUAL SIZE,1,[0]
UNUSUAL VIRTUE,1,[0]
USUAL ENDOWMENT,1,[0]
USUAL METHOD,1,[0]
VARIOUS QUALITIES,1,[0]
VIII,1,[0]
VIRTUE,1,[0]
VIVID IMAGINATION,1,[0]
WHO,1,[0]
WHOLE FABRIC,1,[0]
WILL,1,[0]
WRIT,1,[0]
