source,target,weight,text_unit_ids
-IF MIND,-NEITHER FIRE,2.8944182824921447e-05,[2]
-IF MIND,-THE WATER,2.8944182824921447e-05,[2]
-IF MIND,ACUTE ANGLES,2.8944182824921447e-05,[2]
-IF MIND,ACUTEST BODY,2.8944182824921447e-05,[2]
-IF MIND,AIR WATER,2.8944182824921447e-05,[2]
-IF MIND,ARDUOUS TASK,2.8944182824921447e-05,[2]
-IF MIND,ARGUMENT APPLIES,2.8944182824921447e-05,[2]
-IF MIND,BEAUTIFUL BODIES,2.8944182824921447e-05,[2]
-IF MIND,BEAUTIFUL FORM,2.8944182824921447e-05,[2]
-IF MIND,BLACK COLOUR,2.8944182824921447e-05,[2]
-IF MIND,BODILY ORGANS,2.8944182824921447e-05,[2]
-IF MIND,BODY POSSESSES SOLIDITY,2.8944182824921447e-05,[2]
-IF MIND,BRIGHTEST PART,2.8944182824921447e-05,[2]
-IF MIND,BRINY NATURE,2.8944182824921447e-05,[2]
-IF MIND,BRITTLE SUBSTANCE,2.8944182824921447e-05,[2]
-IF MIND,CASTOR BERRY,2.8944182824921447e-05,[2]
-IF MIND,CAUSES GENERATE,2.8944182824921447e-05,[2]
-IF MIND,CERTAIN FAINT TRACES,2.8944182824921447e-05,[2]
-IF MIND,CERTAIN NATURE,2.0364027009291834e-05,[2]
-IF MIND,CERTAIN STONE,2.8944182824921447e-05,[2]
-IF MIND,CLEARER LANGUAGE,2.8944182824921447e-05,[2]
-IF MIND,COMPOUND BODY,2.8944182824921447e-05,[2]
-IF MIND,COMPOUND FIGURES,2.8944182824921447e-05,[2]
-IF MIND,COMPRESSION THRUSTS,2.8944182824921447e-05,[2]
-IF MIND,CUBICAL FORM,2.8944182824921447e-05,[2]
-IF MIND,DENSER KINDS,2.8944182824921447e-05,[2]
-IF MIND,DIFFERENT NATURE,2.8944182824921447e-05,[2]
-IF MIND,DIFFERENT PLACES,2.8944182824921447e-05,[2]
-IF MIND,DIFFERENT RELATION,2.0364027009291834e-05,[2]
-IF MIND,DIFFICULT MATTER,2.8944182824921447e-05,[2]
-IF MIND,DISSOLVE AIR,2.8944182824921447e-05,[2]
-IF MIND,DISTINCT CLASSES,2.8944182824921447e-05,[2]
-IF MIND,DISTINCT KINDS,2.8944182824921447e-05,[2]
-IF MIND,DISTINCT ORIGIN,2.8944182824921447e-05,[2]
-IF MIND,DIVERS KINDS,2.8944182824921447e-05,[2]
-IF MIND,DOSE CONTACT,2.8944182824921447e-05,[2]
-IF MIND,DOUBLE FORMS,2.8944182824921447e-05,[2]
-IF MIND,DREAMLIKE SENSE,2.8944182824921447e-05,[2]
-IF MIND,DUE ORDER,2.8944182824921447e-05,[2]
-IF MIND,DUE PROPORTION,1.5344957606803963e-05,[2]
-IF MIND,ELEMENTARY FIGURE,2.8944182824921447e-05,[2]
-IF MIND,ELEMENTARY FORMS,2.8944182824921447e-05,[2]
-IF MIND,ENDLESS VARIETY,2.8944182824921447e-05,[2]
-IF MIND,ENTIRE MASS,2.8944182824921447e-05,[2]
-IF MIND,EQUAL SIDES,2.8944182824921447e-05,[2]
-IF MIND,EQUILATERAL QUADRANGLE,2.8944182824921447e-05,[2]
-IF MIND,EQUILATERAL TRIANGLE,2.8944182824921447e-05,[2]
-IF MIND,EQUILATERAL TRIANGLES,2.8944182824921447e-05,[2]
-IF MIND,ERRONEOUS SUPPOSITION,2.8944182824921447e-05,[2]
-IF MIND,ETERNAL BEINGS,2.8944182824921447e-05,[2]
-IF MIND,ETERNAL THINGS,2.0364027009291834e-05,[2]
-IF MIND,EXACT REASON,2.8944182824921447e-05,[2]
-IF MIND,FAIRER SORT,2.8944182824921447e-05,[2]
-IF MIND,FEWEST BASES,2.8944182824921447e-05,[2]
-IF MIND,FIERY NATURE,2.8944182824921447e-05,[2]
-IF MIND,FINE PORTION,2.8944182824921447e-05,[2]
-IF MIND,FINER PARTICLES,2.8944182824921447e-05,[2]
-IF MIND,FIRE FORM,2.8944182824921447e-05,[2]
-IF MIND,FIRE ONLY-WHEN,2.8944182824921447e-05,[2]
-IF MIND,FLESH YIELDS,2.8944182824921447e-05,[2]
-IF MIND,FLUIDS CREATES,2.8944182824921447e-05,[2]
-IF MIND,FORM MOUNTS,2.8944182824921447e-05,[2]
-IF MIND,FRIENDLY VICTORY,2.8944182824921447e-05,[2]
-IF MIND,FROTHY NATURE,2.8944182824921447e-05,[2]
-IF MIND,FUSIBLE SORT,2.8944182824921447e-05,[2]
-IF MIND,FUSILE KIND,2.8944182824921447e-05,[2]
-IF MIND,FUSILE SUBSTANCE,2.8944182824921447e-05,[2]
-IF MIND,GENERAL NAME,1.5344957606803963e-05,[2]
-IF MIND,GOD,6.764801791174351e-06,[2]
-IF MIND,GREAT INTERSTICES,2.8944182824921447e-05,[2]
-IF MIND,GREAT NUMBER,2.8944182824921447e-05,[2]
-IF MIND,GREAT PRINCIPLE,2.8944182824921447e-05,[2]
-IF MIND,HEAVY PARTICLES,2.8944182824921447e-05,[2]
-IF MIND,IGNORANT MIND,2.8944182824921447e-05,[2]
-IF MIND,IMPRESS FIGURES,2.8944182824921447e-05,[2]
-IF MIND,IMPROPER EXPRESSION,2.8944182824921447e-05,[2]
-IF MIND,INDEFINITE EXPRESSION,2.8944182824921447e-05,[2]
-IF MIND,INDISSOLUBLE UNION,2.8944182824921447e-05,[2]
-IF MIND,INEXPLICABLE MANNER,2.8944182824921447e-05,[2]
-IF MIND,INFINITE FORMS,2.8944182824921447e-05,[2]
-IF MIND,INFINITE NUMBER,2.0364027009291834e-05,[2]
-IF MIND,INTELLIGIBLE ESSENCE,2.8944182824921447e-05,[2]
-IF MIND,INTERMEDIATE ELEMENTS,2.8944182824921447e-05,[2]
-IF MIND,INTERMEDIATE NATURE,2.0364027009291834e-05,[2]
-IF MIND,ISOSCELES TRIANGLE,2.8944182824921447e-05,[2]
-IF MIND,KEPMA,2.8944182824921447e-05,[2]
-IF MIND,KEPMATIZEI,2.8944182824921447e-05,[2]
-IF MIND,LARGE MASS,2.8944182824921447e-05,[2]
