title,frequency,text_unit_ids
-IF MIND,1,[2]
-NEITHER FIRE,1,[2]
-THE WATER,1,[2]
-THREE TRIBES,1,[1]
ABSTERGENT NATURE,1,[3]
ABSTRACT PARTICLES,1,[3]
ACID BILE,1,[4]
ACID PHLEGM,1,[4]
ACTUAL FACT,1,[0]
ACUTE ANGLES,1,[2]
ACUTE PERCEPTIONS,1,[3]
ACUTEST BODY,1,[2]
ADDUCE PROBABILITIES,1,[0]
ADMIRABLE LAWS,1,[0]
AIR CORRODE,1,[4]
AIR EMITS,1,[4]
AIR ENTERS,1,[4]
AIR WATER,1,[2]
ALKALINE QUALITY,1,[3]
ALTOGETHER IMMORTAL,1,[1]
AMASIS,1,[0]
AMYNANDER,1,[0]
ANCIENT CITY,1,[0]
ANCIENT FAMOUS ACTION,1,[0]
ANCIENT THINGS,1,[0]
ANCIENT TIMES,1,[0]
ANCIENT TRADITION,1,[0]
ANIMAL DISOBEDIENT,1,[4]
ANIMAL FAIR,1,[4]
ANIMALS UNSEEN,1,[4]
ANTECEDENT SWIFTER SOUNDS,1,[4]
APATURIA,1,[0]
AQUATIC ANIMALS,1,[5]
ARDUOUS TASK,1,[2]
ARGUMENT APPLIES,1,[2]
ARTIFICER GOOD,1,[0]
ASCEND THITHER,1,[3]
ASIA,1,[0]
ASIATICS,1,[0]
ASTRINGENT BODIES,1,[3]
ASTRONOMER AMONGST,1,[0]
ATHENE,1,[0]
ATHENIAN,1,[0]
ATHENS,1,[0]
ATLANTIC,1,[0]
ATLANTIS,1,[0]
ATTAIN TRUTH,1,[4]
ATTAIN VIRTUE,1,[4]
ATTAINS PROPHETIC TRUTH,1,[3]
AUBURN COLOUR MINGLES,1,[4]
BAD EDUCATION,1,[4]
BAD REGIMEN,1,[4]
BARE FRAME,1,[3]
BC,1,[0]
BEAUTIFUL ANIMALS,1,[0]
BEAUTIFUL BODIES,1,[2]
BEAUTIFUL FORM,1,[2]
BEGOTTEN HEAVEN,1,[5]
BENJAMIN JOWETT,1,[0]
BETAKE YOURSELVES,1,[1]
BILIOUS HUMOURS WANDER,1,[4]
BITTER ELEMENT,2,"[3, 4]"
BITTER MATTER,1,[4]
BITTER PART,1,[3]
BITTER PROPERTIES,1,[4]
BITTER QUALITY,1,[3]
BLACK BILE,1,[4]
BLACK COLOUR,1,[2]
BLACK PART ASSUMES,1,[4]
BLOODLESS TISSUE,1,[3]
BLUE COLOUR,1,[3]
BODIES SURROUND,1,[0]
BODILY AFFECTIONS,1,[4]
BODILY NATURE,1,[3]
BODILY ORGANS,1,[2]
BODILY SUBSTANCE,1,[1]
BODY FORCES,1,[4]
BODY POSSESSES SOLIDITY,1,[2]
BOUNDLESS CONTINENT,1,[0]
BRAVE WORDS,1,[0]
BREATH INWARDS,1,[4]
BREATH SURGES,1,[4]
BRIGHT HUE,1,[3]
BRIGHT MEETING,1,[3]
BRIGHT SURFACES,1,[1]
BRIGHTEST PART,1,[2]
BRINY NATURE,1,[2]
BRINY PHLEGM,1,[4]
BRITTLE SUBSTANCE,1,[2]
CASTOR BERRY,1,[2]
CAUSES GENERATE,1,[2]
CAUSES PAIN,1,[3]
CENTRE PART,1,[1]
CEREBRAL MOISTURE,1,[3]
CERTAIN CONDITIONS-THE NON-EXISTENCE,1,[4]
CERTAIN CONTRACTIONS,1,[3]
CERTAIN DISTRICT,1,[0]
CERTAIN FAINT TRACES,1,[2]
CERTAIN LOTS,1,[0]
CERTAIN NATURE,2,"[1, 2]"
CERTAIN PROOFS,1,[1]
CERTAIN STONE,1,[2]
CERTAIN TIME,1,[4]
CHIEF DIFFICULTY,1,[0]
CHIEF MAGISTRATES,1,[0]
CHIEF THEME,1,[0]
CHILDLIKE INTEREST,1,[0]
CIRCLE ROUND,1,[3]
CIRCLES RETURN,1,[1]
CIRCULAR ENVELOPMENT,1,[3]
CIRCULAR FORM,1,[1]
CIRCULAR MOTION,1,[4]
CIRCULAR MOVEMENT,1,[1]
CIVIL WAR,1,[4]
CLASSICS,1,[5]
CLEARER LANGUAGE,1,[2]
CLEAREST DEMONSTRATION,1,[4]
CO-OPERATIVE CAUSES,1,[1]
COARSER NATURE,1,[1]
COLD BODIES,1,[3]
COMMON NAME,1,[4]
COMMON PATRON,1,[0]
COMMON PURSUITS,1,[0]
COMPLETE FUSION,1,[0]
COMPLEX FRAME,1,[4]
COMPOSITE ANIMAL,1,[4]
COMPOSITE FRAME,1,[4]
COMPOUND BODY,1,[2]
COMPOUND FIGURES,1,[2]
COMPREHEND REASON,1,[3]
COMPRESSION THRUSTS,1,[2]
CONGENIAL EXISTENCE,1,[1]
CONTINUAL PRACTICE,1,[0]
CONTINUOUS HEAT,1,[4]
CONTRARY STATE,1,[3]
CONVULSIVE EFFORTS,1,[4]
COPIOUS SWEATS,1,[4]
CORPOREAL UNIVERSE,1,[1]
CORRESPONDING ENQUIRY,1,[4]
CORRESPONDING VISIONS,1,[1]
COUNTRY SHONE,1,[0]
CREATOR,2,"[0, 1]"
CRIT,1,[0]
CRITIAS,1,[0]
CRONOS,1,[1]
CUBICAL FORM,1,[2]
CULTIVATE MUSIC,1,[4]
CUT PORTIONS,1,[4]
DAILY FOOD,1,[4]
DARK BLUE MINGLES,1,[3]
DARK SAYINGS,1,[3]
DAY SURROUNDS,1,[1]
DEAR FRIEND,1,[0]
DEEP PLACES,1,[1]
DEITY,1,[0]
DELICATE PORTIONS,1,[3]
DELIVERS ORACLES,1,[3]
DELUGE,1,[0]
DENSER KINDS,1,[2]
DESIRES MEATS,1,[3]
DETAIN FIRE,1,[3]
DEUCALION,1,[0]
DIFFERENT APPEARANCE,1,[3]
DIFFERENT ELEMENTS,1,[3]
DIFFERENT KINDS,1,[3]
DIFFERENT NATURE,1,[2]
DIFFERENT PARTS,1,[4]
DIFFERENT PLACES,1,[2]
DIFFERENT RELATION,2,"[2, 3]"
DIFFERENT SEASONS,1,[3]
DIFFERENT SORT,1,[3]
DIFFICULT MATTER,1,[2]
DIFFICULTY RETURN,1,[3]
DIRECTION EQUIDISTANT,2,"[0, 1]"
DISAGREEABLE ENEMY,1,[4]
DISCORDANT MOTION,1,[4]
DISEASES ORIGINATE,1,[4]
DISSIMILAR ELEMENT,1,[3]
DISSIMILAR THINGS,1,[4]
DISSOLVE AIR,1,[2]
DISTINCT CLASSES,1,[2]
DISTINCT KINDS,1,[2]
DISTINCT ORIGIN,1,[2]
DIVERS KINDS,1,[2]
DIVERSE KINDS,1,[4]
DIVINE COURSES,1,[1]
DIVINE ELEMENTS,1,[0]
DIVINE HARMONY,1,[4]
DIVINE NATURE,1,[3]
DIVINE PART,1,[1]
DIVINE POWER,2,"[3, 4]"
DIVINE PRINCIPLE,1,[4]
DIVINE SEED,1,[3]
DIVINER PART,1,[4]
DIVINEST ELEMENT,1,[3]
DIVINEST PART,1,[4]
DOSE CONTACT,1,[2]
DOUBLE FORMS,1,[2]
DOUBLE NATURE,1,[4]
DOUBLE PROCESS,1,[4]
DREAMLIKE SENSE,1,[2]
DROPIDES,1,[0]
DUE ORDER,1,[2]
DUE PROPORTION,3,"[1, 2, 4]"
DUE PROPORTIONS,1,[3]
EARTH,2,"[0, 1]"
EARTHY LIQUID,1,[3]
EARTHY PARTS,1,[3]
EASY RECOVERY,1,[4]
EGYPT,1,[0]
EGYPTIAN DELTA,1,[0]
ELEMENTARY FIGURE,1,[2]
ELEMENTARY FORMS,1,[2]
