title,frequency,text_unit_ids
AIR BEARS,1,[0]
ART,1,[0]
BODY LEAVENS,1,[0]
CALLS FIRE,1,[0]
CHOICEST INFLUENCES,1,[0]
COMMON MATERIAL,1,[0]
COMMON SUBSTANCE,1,[0]
DESCENDS DOWNWARD,1,[0]
DIFFERENT COLOUR,1,[0]
EARTH SEPARATES,1,[0]
ELEMENTARY MATERIAL,1,[0]
FALSE INTERPRETATION,1,[0]
FASHION TRANSMUTES,1,[0]
FATHER,1,[0]
FIRM BODIES,1,[0]
FLIGHT POVERTY,1,[0]
FOETUS DAY,1,[0]
FULL STRENGTH,1,[0]
GENTLE COCTION,1,[0]
GENTLE HEAT,1,[0]
GOD,1,[0]
GOOD UNDERSTANDING,1,[0]
GREAT ARTIFICE,1,[0]
HEN HATCHES,1,[0]
HENCE,1,[0]
HENCE HERMES,1,[0]
HERMES,1,[0]
HERMES TRISMEGISTUS,1,[0]
HID FIRE,1,[0]
HUMAN BODY,1,[0]
IGNORANT READER,1,[0]
IMPARTS FOOD,1,[0]
INTERNAL ACTION,1,[0]
ITSELF,1,[0]
MATERNAL WOMB,1,[0]
MATTER,1,[0]
MERCURY,1,[0]
MOON,1,[0]
MYSTIC LANGUAGE,1,[0]
NATURAL HEAT,1,[0]
NATURE,1,[0]
NEW BODY,1,[0]
NEW FOETUS,1,[0]
NUTRITIVE PRINCIPLE,1,[0]
OWN FOOLISH NOTIONS,1,[0]
OWN IGNORANCE,1,[0]
OWN SUBSTANCE,1,[0]
OWN VIRTUE,1,[0]
PHILOSOPHERS,1,[0]
PRECIOUS COMFORT,1,[0]
PRECIOUS STONES,1,[0]
PROUD TITLE,1,[0]
SAGE,1,[0]
SAGES,1,[0]
SMALL WORLD,1,[0]
SOLID BODIES,1,[0]
SPECIFIC FORM,1,[0]
SPIRIT LEAVENS,1,[0]
SPIRITS BODIES,1,[0]
STONE,1,[0]
SUBTLE MERCURY,1,[0]
SUCH VIRTUE,1,[0]
SUN,1,[0]
SUN MOON,1,[0]
TEMPERATE BATH,1,[0]
TRANSMUTE MERCURY,1,[0]
TYPICAL FORM,1,[0]
VOLATILE SUBSTANCE RISES,1,[0]
VOLATILE WATER,1,[0]
WATER ASCEND,1,[0]
WHOLE BODY,1,[0]
WHOLE EARTH,1,[0]
WHOLE LUMP,1,[0]
WHOLE POTENCY THEREOF,1,[0]
WHOLE WORLD,1,[0]
WIND BEARS,1,[0]
