source,target,weight,text_unit_ids
A VITRIOLIC,ABOVE WATER,1.567069156321036e-05,[1]
A VITRIOLIC,ACID,9.36353293817094e-06,[1]
A VITRIOLIC,ADUSTABLE SUBSTANCES,1.567069156321036e-05,[1]
A VITRIOLIC,AEREAL,1.567069156321036e-05,[1]
A VITRIOLIC,AFTERWARDS RECTIFY,1.567069156321036e-05,[1]
A VITRIOLIC,ALCALINE AGENT,1.567069156321036e-05,[1]
A VITRIOLIC,ALCALINE COUNTER-AGENTS,1.567069156321036e-05,[1]
A VITRIOLIC,ALCALINE SALT,1.567069156321036e-05,[1]
A VITRIOLIC,ALEMBIC,9.36353293817094e-06,[1]
A VITRIOLIC,ALKALINE,1.567069156321036e-05,[1]
A VITRIOLIC,ANATOMY,5.67408165642287e-06,[1]
A VITRIOLIC,ANDROGYNAL NATURE,1.567069156321036e-05,[1]
A VITRIOLIC,ANIMA MUNDI,5.67408165642287e-06,[1]
A VITRIOLIC,ANIMAL,5.67408165642287e-06,[1]
A VITRIOLIC,ANIMAL DEPARTMENT,1.567069156321036e-05,[1]
A VITRIOLIC,ANIMAL OIL,1.567069156321036e-05,[1]
A VITRIOLIC,ANIMAL OILS,1.567069156321036e-05,[1]
A VITRIOLIC,ANIMAL SALTS,1.567069156321036e-05,[1]
A VITRIOLIC,ANIMAL SUBSTANCES,1.567069156321036e-05,[1]
A VITRIOLIC,ANIMALS,5.67408165642287e-06,[1]
A VITRIOLIC,ANTIMONY,1.567069156321036e-05,[1]
A VITRIOLIC,ANVIL,1.567069156321036e-05,[1]
A VITRIOLIC,APRIL,1.567069156321036e-05,[1]
A VITRIOLIC,AQUA FORTIS,1.567069156321036e-05,[1]
A VITRIOLIC,AQUA REGIA,1.567069156321036e-05,[1]
A VITRIOLIC,ARCHAEOUS,1.567069156321036e-05,[1]
A VITRIOLIC,ARDENS,1.567069156321036e-05,[1]
A VITRIOLIC,ARDENT,1.567069156321036e-05,[1]
A VITRIOLIC,ARSENIC,1.567069156321036e-05,[1]
A VITRIOLIC,ATMOSPHERE,5.67408165642287e-06,[1]
A VITRIOLIC,AURUM,1.567069156321036e-05,[1]
A VITRIOLIC,BISMUTH,1.567069156321036e-05,[1]
A VITRIOLIC,BLOOD,9.36353293817094e-06,[1]
A VITRIOLIC,BODIES,5.67408165642287e-06,[1]
A VITRIOLIC,BODY,5.67408165642287e-06,[1]
A VITRIOLIC,BROWN,1.567069156321036e-05,[1]
A VITRIOLIC,BROWN SPONGY EARTH ASCENDS,1.567069156321036e-05,[1]
A VITRIOLIC,CAUSES FERMENTATION,1.567069156321036e-05,[1]
A VITRIOLIC,CELLAR,1.567069156321036e-05,[1]
A VITRIOLIC,CENTRAL HEAT,9.36353293817094e-06,[1]
A VITRIOLIC,CERTAIN QUANTITY,1.567069156321036e-05,[1]
A VITRIOLIC,CHAOS,9.36353293817094e-06,[1]
A VITRIOLIC,CHARCOAL,1.567069156321036e-05,[1]
A VITRIOLIC,CHARCOAL DUST,1.567069156321036e-05,[1]
A VITRIOLIC,CHARCOAL SULPHUR,1.567069156321036e-05,[1]
A VITRIOLIC,CHINA BASIN,1.567069156321036e-05,[1]
A VITRIOLIC,CLEAN PEWTER BASIN,1.567069156321036e-05,[1]
A VITRIOLIC,CLEAR CRYSTALLINE WATER,9.36353293817094e-06,[1]
A VITRIOLIC,COALS,1.567069156321036e-05,[1]
A VITRIOLIC,COBALT PYRITIS,1.567069156321036e-05,[1]
A VITRIOLIC,COF,1.567069156321036e-05,[1]
A VITRIOLIC,COLD,9.36353293817094e-06,[1]
A VITRIOLIC,COLD PLACE,1.567069156321036e-05,[1]
A VITRIOLIC,COMMON GUNPOWDER,1.567069156321036e-05,[1]
A VITRIOLIC,COMMON NITRE,1.567069156321036e-05,[1]
A VITRIOLIC,COMMON PURE NITRE,1.567069156321036e-05,[1]
A VITRIOLIC,COMMON SALT,1.567069156321036e-05,[1]
A VITRIOLIC,CONCEAL FIRE,1.567069156321036e-05,[1]
A VITRIOLIC,CONCRETE,9.36353293817094e-06,[1]
A VITRIOLIC,CONSIDERABLE QUANTITY,1.567069156321036e-05,[1]
A VITRIOLIC,CONTINUAL CIRCULATION,5.67408165642287e-06,[1]
A VITRIOLIC,CONTRARY AGENT,1.567069156321036e-05,[1]
A VITRIOLIC,CONTRARY SULPHUREOUS,1.567069156321036e-05,[1]
A VITRIOLIC,CORPORIFIED,1.567069156321036e-05,[1]
A VITRIOLIC,COW-HOUSES,1.567069156321036e-05,[1]
A VITRIOLIC,CRUDE CORPOREAL NITRE,1.567069156321036e-05,[1]
A VITRIOLIC,CRYSTALS,1.567069156321036e-05,[1]
A VITRIOLIC,CRYSTALS DRY,1.567069156321036e-05,[1]
A VITRIOLIC,DEW,5.67408165642287e-06,[1]
A VITRIOLIC,DIFFERENT CHARACTER,1.567069156321036e-05,[1]
A VITRIOLIC,DIFFERENT DEGREES,9.36353293817094e-06,[1]
A VITRIOLIC,DIFFERENT FORMS,1.567069156321036e-05,[1]
A VITRIOLIC,DIFFERENT KINDS,1.567069156321036e-05,[1]
A VITRIOLIC,DIFFERENT NAME,1.567069156321036e-05,[1]
A VITRIOLIC,DIFFERENT NATURE,1.567069156321036e-05,[1]
A VITRIOLIC,DIFFERENT QUALITY,1.567069156321036e-05,[1]
A VITRIOLIC,DISSOLVE SULPHURS,1.567069156321036e-05,[1]
A VITRIOLIC,DISSOLVE VOLATILE SALT,1.567069156321036e-05,[1]
A VITRIOLIC,DISTIL,1.567069156321036e-05,[1]
A VITRIOLIC,DISTILLATION,1.567069156321036e-05,[1]
A VITRIOLIC,DOUBLE SULPHUREOUS,1.567069156321036e-05,[1]
A VITRIOLIC,DRY EARTH,1.567069156321036e-05,[1]
A VITRIOLIC,DRY HEAT,1.567069156321036e-05,[1]
A VITRIOLIC,DRY STATE,1.567069156321036e-05,[1]
A VITRIOLIC,DRY WATER,1.567069156321036e-05,[1]
A VITRIOLIC,DUST,1.567069156321036e-05,[1]
A VITRIOLIC,EARTH,5.67408165642287e-06,[1]
A VITRIOLIC,EARTH DIMINISHES,1.567069156321036e-05,[1]
A VITRIOLIC,EARTHENWARE POT,1.567069156321036e-05,[1]
A VITRIOLIC,ELEMENT,9.36353293817094e-06,[1]
A VITRIOLIC,EMPTY EARTH,1.567069156321036e-05,[1]
A VITRIOLIC,EMPTY WATER,1.567069156321036e-05,[1]
A VITRIOLIC,EVIDENT PROOF,1.567069156321036e-05,[1]
A VITRIOLIC,EXPEDITIOUS WAY,9.36353293817094e-06,[1]
A VITRIOLIC,EXPLOSION PROCEEDS,1.567069156321036e-05,[1]
A VITRIOLIC,FAT SALT,1.567069156321036e-05,[1]
A VITRIOLIC,FATHER,9.36353293817094e-06,[1]
A VITRIOLIC,FATS,1.567069156321036e-05,[1]
A VITRIOLIC,FEBR,1.567069156321036e-05,[1]
A VITRIOLIC,FEMALE SPERM,9.36353293817094e-06,[1]
A VITRIOLIC,FERTILITY,1.567069156321036e-05,[1]
A VITRIOLIC,FIERY COALS,1.567069156321036e-05,[1]
A VITRIOLIC,FIERY NATURE,1.567069156321036e-05,[1]
A VITRIOLIC,FIERY PURE EARTH,1.567069156321036e-05,[1]
A VITRIOLIC,FIERY STONE LIME,1.567069156321036e-05,[1]
A VITRIOLIC,FINE CLEAR WATER,9.36353293817094e-06,[1]
A VITRIOLIC,FIRMAMENT,5.67408165642287e-06,[1]
A VITRIOLIC,FIX NITRE,1.567069156321036e-05,[1]
A VITRIOLIC,FIXEST PARTS,1.567069156321036e-05,[1]
A VITRIOLIC,FIXITY,9.36353293817094e-06,[1]
A VITRIOLIC,FIXITY DESTROYS,1.567069156321036e-05,[1]
A VITRIOLIC,FIXT ALCALI,1.567069156321036e-05,[1]
A VITRIOLIC,FIXT ALCALINE LYE DISSOLVES,1.567069156321036e-05,[1]
