title,frequency,text_unit_ids
A VITRIOLIC,1,[1]
ABOVE SPIRIT,1,[2]
ABOVE WATER,1,[1]
ACETUM,1,[0]
ACID,2,"[1, 2]"
ACID CORROSIVE VAPOUR,1,[2]
ACIDITY,1,[2]
ADUSTABLE SUBSTANCES,1,[1]
AEREAL,1,[1]
AFTERWARDS RECTIFY,1,[1]
AGENT,2,"[0, 2]"
AIR CONDENSES,1,[0]
AIR DISSOLVES,1,[0]
AIR VESICLES,1,[0]
ALCALI,2,"[0, 2]"
ALCALINE AGENT,1,[1]
ALCALINE COUNTER-AGENTS,1,[1]
ALCALINE PASSIVE PRINCIPLE WHEREIN,1,[0]
ALCALINE SALT,1,[1]
ALCHEMY,1,[2]
ALCHEMY REDISCOVERED,1,[2]
ALEMBIC,2,"[0, 1]"
ALKALINE,1,[1]
ALMIGHTY,1,[2]
ALTERUM ABSQUE MEDIO,1,[0]
ANATOMY,3,"[0, 1, 2]"
ANCIENT PRIMORDIAL,1,[0]
ANDROGYNAL NATURE,1,[1]
ANGER,1,[2]
ANIMA,2,"[0, 2]"
ANIMA MUNDI,3,"[0, 1, 2]"
ANIMAL,3,"[0, 1, 2]"
ANIMAL DEPARTMENT,1,[1]
ANIMAL OIL,1,[1]
ANIMAL OILS,1,[1]
ANIMAL SALTS,1,[1]
ANIMAL SUBSTANCES,1,[1]
ANIMALS,3,"[0, 1, 2]"
ANTIMONY,1,[1]
ANVIL,1,[1]
APRIL,1,[1]
AQUA FORTIS,1,[1]
AQUA REGIA,1,[1]
ARCHAEOUS,1,[1]
ARDENS,1,[1]
ARDENT,1,[1]
ARSENIC,1,[1]
ART,1,[0]
ATMOSPHERE,3,"[0, 1, 2]"
ATMOSPHERIC AIR,2,"[0, 2]"
ATMOSPHERIC AIR RETURN,1,[2]
AURUM,1,[1]
AUTHOR,1,[2]
AXIOM,1,[0]
BEGINNING FIRE,1,[0]
BEINGS,1,[0]
BISMITH,1,[2]
BISMUTH,1,[1]
BITUMINOUS SUBSTANCES,1,[0]
BLOOD,2,"[0, 1]"
BODIES,3,"[0, 1, 2]"
BODY,3,"[0, 1, 2]"
BROWN,1,[1]
BROWN SPONGY EARTH ASCENDS,1,[1]
CALCINE,1,[0]
CAPACITY,1,[0]
CARTILAGES,1,[2]
CATENA HOMERI,1,[0]
CAUSES FERMENTATION,1,[1]
CAUSES THEREIN,1,[0]
CELESTIAL,1,[0]
CELESTIAL BODY,1,[2]
CELESTIAL HEAT,1,[0]
CELESTIAL INFLUENCES,1,[0]
CELLAR,1,[1]
CENTER LAYS,1,[0]
CENTRAL FIRE,2,"[0, 2]"
CENTRAL HEAT,2,"[0, 1]"
CENTRAL POINT,1,[0]
CENTRALLY,1,[2]
CERTAIN QUANTITY,1,[1]
CHAIN,1,[0]
CHAOS,2,"[0, 1]"
CHAOTIC,1,[0]
CHAOTIC INVISIBLE,1,[0]
CHAOTIC WATER,1,[0]
CHAOTIC WATERS,1,[0]
CHAOTISATION,1,[2]
CHAPER,1,[0]
CHARCOAL,1,[1]
CHARCOAL DUST,1,[1]
CHARCOAL SULPHUR,1,[1]
CHINA BASIN,1,[1]
CLEAN PEWTER BASIN,1,[1]
CLEAR CRYSTALLINE WATER,2,"[0, 1]"
CLOUDS,1,[0]
COALS,1,[1]
COBALT,1,[2]
COBALT PYRITIS,1,[1]
COF,1,[1]
COLD,2,"[0, 1]"
COLD FIRE,1,[2]
COLD INCORPOREAL,1,[2]
COLD PLACE,1,[1]
COLLECTANEA CHEMICA,1,[2]
COMMON AIR,1,[0]
COMMON EARTH,1,[0]
COMMON GUNPOWDER,1,[1]
COMMON NITRE,1,[1]
COMMON PURE NITRE,1,[1]
COMMON SALT,1,[1]
COMMON SELF,1,[2]
COMMON SULPHUR,1,[2]
COMMON UNDERSTANDING,1,[0]
CONCEAL FIRE,1,[1]
CONCRETE,2,"[0, 1]"
CONSIDERABLE QUANTITY,1,[1]
CONSPICUOUS QUALITIES,1,[0]
CONSTANT MOTION,1,[0]
CONSTITUTES AIR,1,[0]
CONTAINS FIRE,1,[0]
CONTINUAL CIRCULATION,3,"[0, 1, 2]"
CONTINUAL MOTION,1,[0]
CONTINUAL TRANSMUTATION,1,[0]
CONTINUAL TRANSPIRATION,1,[0]
CONTRARY AGENT,1,[1]
CONTRARY ENTERS,1,[2]
CONTRARY SULPHUREOUS,1,[1]
CORPOREAL,1,[0]
CORPORIFIED,1,[1]
CORPUS,2,"[0, 2]"
CORROSIVE VINEGAR,1,[2]
CORROSIVE WATER,1,[2]
CORROSIVENESS DISSOLVE,1,[2]
CORRUPTIS,1,[2]
COUNTRY-MEN,1,[0]
COW-HOUSES,1,[1]
CREATOR,2,"[0, 2]"
CREATURES,2,"[0, 2]"
CRUDE CORPOREAL NITRE,1,[1]
CRYSTALS,1,[1]
CRYSTALS DRY,1,[1]
DAILY EXPERIENCE CONFIRMS,1,[0]
DEATH,1,[2]
DEGREE,1,[0]
DENSITY,1,[0]
DEPARTMENTS,1,[2]
DESTROYER,1,[2]
DEW,3,"[0, 1, 2]"
DEWS,1,[0]
DIFFERENT CHARACTER,1,[1]
DIFFERENT DEGREES,2,"[0, 1]"
DIFFERENT FORMS,1,[1]
DIFFERENT KINDS,1,[1]
DIFFERENT MODIFICATIONS,1,[0]
DIFFERENT MODULATIONS,1,[0]
DIFFERENT NAME,1,[1]
DIFFERENT NATURE,1,[1]
DIFFERENT QUALITY,1,[1]
DIGESTION,1,[2]
DISCOVERY,1,[0]
DISSOLVE SULPHURS,1,[1]
DISSOLVE VOLATILE SALT,1,[1]
DISTIL,1,[1]
DISTILLATION,1,[1]
DISTINCT POWERS,1,[0]
DISTINCTION FERMENT,1,[2]
DIVINE EMANATION,1,[2]
DIVINE OMNIPOTENCE,1,[0]
DIVINE ORIGIN,1,[2]
DOUBLE SULPHUREOUS,1,[1]
DOUBLE TWOFOLD APPEARANCE,1,[2]
DRY EARTH,1,[1]
DRY HEAT,1,[1]
DRY MERCURY,1,[2]
DRY STATE,1,[1]
DRY WATER,1,[1]
DUST,1,[1]
EARTH,3,"[0, 1, 2]"
EARTH CONDENSES,1,[0]
EARTH DIMINISHES,1,[1]
EARTH EARTH,1,[2]
EARTHENWARE POT,1,[1]
EARTHQUAKES,1,[0]
EFFLUVIUM,1,[0]
ELEMENT,2,"[0, 1]"
EMPTY EARTH,1,[1]
EMPTY WATER,1,[1]
ENEMY,1,[2]
