title,frequency,text_unit_ids
45TH DAY,1,[1]
ABLUTION,1,[0]
ABRAHAM JUDAEUS,1,[0]
ABSOLUTE PREPARATION,1,[0]
ACTION WHEREOF,1,[1]
ACTIVE VIRTUE,1,[0]
ACUTE DOCTOR HATH,1,[0]
ACUTE FIRE,1,[1]
ACUTE STUDENTS,1,[0]
ADAM,1,[1]
AENIGMA,1,[0]
AFORESAID PLATE,1,[1]
AFTERWARDS INCERATE,1,[1]
AGENT,1,[1]
AGREEABLE UNTO,1,[1]
AIRY,1,[1]
ALCHEMY,1,[0]
ALCIDES,1,[0]
ALEMBIC,1,[1]
ALIMENT,1,[1]
ALLEGORICAL PICTURES,1,[0]
ALMIGHTY,1,[0]
ALTERNATIVE REITERATION,1,[1]
AMALGAMA,1,[1]
AMARANTH,2,"[0, 1]"
ANAGRAM,1,[0]
ANALYSIS,1,[0]
ANCIENT MOUNTAINS,1,[0]
ANIMAL,1,[1]
ANONYMOUS AUTHOR,1,[0]
APPLES,1,[0]
AQUA,1,[0]
AQUARIUS,1,[2]
ARCHITECT,1,[1]
ARGENT,2,"[0, 1]"
ARGENT-VIVE,1,[1]
ARIES,1,[2]
ARNOLD,1,[2]
ARSENIC,1,[0]
ART,2,"[0, 1]"
ARTIFICER,2,"[0, 1]"
ARTIFICERS,1,[0]
ASHES,1,[1]
ASSAYER,1,[1]
ATHANOR,1,[1]
ATTAIN UNTO,1,[0]
ATTAINETH UNTO,1,[1]
AUTHOR WHEREOF,1,[0]
BALANCE,1,[1]
BASIS,1,[0]
BATH,2,"[0, 1]"
BEAMS BEGETTETH,1,[1]
BEAST,1,[1]
BEAUTIFUL FLOWERS,1,[0]
BEIA,1,[0]
BENEATH,1,[0]
BENEDICTION,1,[1]
BLACK WHEREIN,1,[0]
BLACKEST MIDNIGHT SHEWETH,1,[0]
BLACKNESS,1,[2]
BLIND-HEAD,1,[1]
BLOOD,1,[1]
BODIES,2,"[0, 1]"
BODIES RETURN,1,[0]
BODY,2,"[0, 1]"
BODY VOID,1,[1]
BOLT-HEAD,1,[1]
BOSOM,1,[1]
BRAVE HEROIC FIRE,1,[0]
BRAZEN,1,[1]
BRAZEN PLATE,1,[1]
BRICK,1,[1]
BRIGHT GOLD,1,[0]
BURNING,1,[1]
BUTTER,1,[1]
CALCINATION,1,[0]
CALCINATORY,1,[1]
CANCER ADDETH,1,[2]
CAPRICORN,1,[2]
CAST,1,[1]
CELESTIAL,1,[1]
CENTRE,1,[1]
CERTAIN HOPE,1,[0]
CERTAIN TEMPERAMENT,1,[1]
CHAOS,2,"[0, 1]"
CHARYBDIS,1,[0]
CHASTE WEDLOCK,1,[0]
CHIEF END,1,[0]
CHIEF SECRETS,1,[1]
CHIEF WHEREOF,1,[0]
CHIEFEST NOTE,1,[0]
CHILD,1,[1]
CHYMISTRY,1,[0]
CIRCLE HATH,1,[1]
CIRCLES,1,[1]
CLEAR,2,"[0, 1]"
CLEAR STONE,1,[0]
CLOUDS,1,[1]
COALS,1,[1]
CODICIL,1,[0]
COLCHOS,1,[0]
COLOURING MEDICINE,1,[0]
COLOURS,1,[0]
COMMON FIRE DOTH,1,[1]
COMMON SORT,1,[0]
COMPANION,1,[0]
COMPOSITION THEREOF,1,[1]
COMPOSITUM,1,[1]
CONGELATION,1,[1]
CONGELATION HATH,1,[0]
CONGELATIONS,1,[0]
CONSPICUOUS UNTO,1,[0]
CONSTANT MIND,1,[0]
CONSTANT READING,1,[0]
CONSTANT TRANQUILLITY,1,[0]
CONTRA-NATURAL,1,[1]
CONTRARY,1,[1]
CONVENIENT MATTER NEED,1,[0]
CORPOREAL HEAP,1,[1]
COUNT TREVISAN,1,[0]
COURTEOUS WORDS,1,[1]
CREATION,1,[1]
CREDULOUS MIND,1,[0]
CREDULOUS TYRO BEWARE,1,[0]
CROP,1,[0]
CROW,3,"[0, 1, 2]"
CROWN,3,"[0, 1, 2]"
DAMASK-COLOURED VIOLETS,1,[0]
DARK ABYSS,1,[0]
DARK SPHERE,1,[0]
DARKNESS RETREATS,1,[1]
DEAD MAN,1,[1]
DEAD THINGS,1,[0]
DEAREST WATER,1,[0]
DECEITFUL MAN,1,[0]
DECEITFUL WINDINGS,1,[0]
DECRETORY SIGNS,1,[0]
DEEP,1,[0]
DEEP REDNESS,1,[0]
DEGREES RIPENETH THINGS UNRIPE,1,[0]
DELICATE COLOUR,1,[0]
DEMONSTRATIVE PASSIONS,1,[0]
DEMONSTRATIVE SIGNS,1,[0]
DESIRE UNTO,1,[0]
DESIRETH KNOWLEDGE,1,[0]
DESTRUCTIVE FIRE,1,[1]
DEW,1,[1]
DIANA,1,[0]
DIAPHANOUS,1,[1]
DIFFERENT CHARACTER,1,[0]
DIFFERENT SPEECH,1,[0]
DIGESTION,1,[1]
DIGESTION CONSUMMATETH,2,"[0, 1]"
DIGESTION OPERATETH,1,[0]
DIGESTIONS REQUIRETH,1,[1]
DILATATION,1,[1]
DIREFUL POISON,1,[1]
DISCREET HAND,1,[0]
DISPENSER,1,[1]
DISSOLVENT,1,[1]
DISTILLATIONS,1,[0]
DISTILLATORY,1,[1]
DISTINCT TINCTURES,1,[1]
DISTRIBUTETH WATER,1,[1]
DIVERS EXPRESSIONS,1,[0]
DIVERS KINDS,1,[0]
DIVERS MEANS,1,[0]
DIVERS NAMES,1,[1]
DIVERSE ASPECT,1,[0]
DIVERSE MANNERS,1,[0]
DIVERSE NATURE,1,[0]
DIVINE,1,[0]
DIVINE POWERS,1,[0]
DOCTRINE,1,[0]
DOMINION,1,[2]
DOTH ACT,1,[1]
DOTH COMMUNICATE,1,[1]
DOUBLE DEGREE,1,[1]
DOUBLE EFFECT,1,[1]
DOUBLE FIRE,1,[1]
DOUBLE INFECTION,1,[0]
DOUBLE SEX,1,[0]
DOUBLE WEIGHT,1,[1]
DOUBLE WORK,1,[1]
DRAGON,2,"[0, 1]"
DRINK THRICE,1,[0]
DRY,1,[1]
DRY BATH,1,[0]
DRY LAND,1,[1]
DUE ORDER,1,[1]
DUNG,1,[1]
DYE THY,1,[1]
EAGLE,2,"[0, 1]"
EARTH,3,"[0, 1, 2]"
EASTERN COAST,1,[0]
ELEMENT,1,[1]
ELEMENTARY BODY,2,"[0, 1]"
ELEMENTARY QUALITIES,1,[0]
ELEMENTS,2,"[1, 2]"
ELIXIR,3,"[0, 1, 2]"
EMBLEMS,1,[0]
EMPTY HUSKS,1,[0]
END WHEREOF,1,[1]
ENIGMATICAL FIGURES,1,[0]
ENTIRE CIRCULATION,1,[1]
ENTIRE WORK,1,[0]
ENTRANCE,1,[0]
ENTRY DOOR,1,[0]
EQUIVOCAL NAMES,1,[0]
EQUIVOCAL WORDS,1,[0]
ERRONEOUS PRINCIPLES,1,[0]
ERROR BURNETH,1,[1]
ESSENTIAL MUTATIONS,1,[0]
ETERNAL,1,[2]
ETERNAL LEAGUE,1,[0]
EVACUATION,1,[1]
EVIL PASSIONS,1,[0]
EXCELLENT LEAVEN,2,"[0, 1]"
EXCELLENT NAME,1,[1]
EXCITING HEAT,1,[0]
EXPERIENCE TRUTH,1,[0]
EXPERT FISHERMAN,1,[0]
EXTERNAL ACCIDENTS,1,[0]
EXTERNAL FIRE,1,[1]
EXTERNAL HEAT,1,[1]
EXTERNAL MOTOR,1,[1]
EXTRACTION,1,[0]
EXTREME BLACKNESS,1,[0]
EXTREME FIRE,1,[1]
EXTRINSIC,1,[1]
EXTRINSIC PART,1,[0]
FACULTY,1,[1]
FATES,1,[0]
FATES FAVOUR,1,[0]
FATHER,1,[1]
FEEBLE HEAT,1,[1]
FEMALE,1,[1]
FEMALE ANSWERETH,1,[1]
FEMALE DOTH,1,[0]
FEMININE,1,[0]
FERMENT,2,"[0, 1]"
FERTILE SOIL,1,[0]
FEVER,1,[1]
FEVERISH,1,[1]
FIERY CELESTIAL SPIRIT INNATE,1,[1]
FIERY NATURE,1,[1]
FIERY SPIRIT,1,[1]
FIFTIETH DAY,1,[2]
FIGURE,1,[1]
FINAL WORK,1,[0]
FINGERS THICK,1,[1]
FIRE CONTRARY,1,[1]
FIRE DOTH,1,[1]
FIRE EXECUTES,1,[1]
FIRE PAINTING,1,[0]
FIRM UNION,1,[0]
FIXATION,1,[0]
FIXED,1,[1]
FLAME,1,[1]
FLAMEL,1,[0]
FLEECE,2,"[0, 2]"
FLOW FORTHWITH,1,[1]
FOOT-STEPS,1,[2]
FORM THEREOF,1,[1]
FOUL STOMACH,1,[0]
FOUNTAIN,2,"[0, 1]"
FOURTH,2,"[0, 1]"
FOURTH ELEMENT,1,[1]
FRESH ONES,1,[0]
FUMES,1,[1]
FURNACE,1,[1]
GABRITIUS,1,[0]
GEBER,1,[0]
GENERATION,1,[1]
GENIUS,1,[0]
GENTLE ACCESS,1,[1]
GENTLE CARE,1,[0]
GENTLE FIRE,2,"[0, 1]"
GENTLE HEAT,2,"[0, 1]"
GENTLE MOTION,1,[1]
GEOMETRICAL PRECEPTS,1,[1]
GEOMETRY,1,[1]
GLOOMY VALLEYS HIDE,1,[0]
GOD,2,"[0, 1]"
GOLDEN FLEECE,1,[0]
GOLDEN MOUNTAINS,1,[0]
GOOD HEALTH,1,[2]
GOVERNMENT THEREOF,1,[1]
GRADE HATH,1,[1]
GRADES,1,[1]
GRAIN PUTREFIES,1,[0]
GREAT CONFORMITY,1,[0]
GREAT DANGER,1,[0]
GREAT GOLDEN RIVER,1,[0]
GREAT HURT,1,[0]
GREAT INGENUITY,1,[1]
GREAT STORE,1,[0]
GREEDY HUSBANDMAN,1,[1]
GUIDE,1,[0]
HAPPY STONE,1,[0]
HARD BARK,1,[1]
HARD CRUST,1,[0]
HARSH CONTENTION,1,[1]
HATH DIVERS NAMES,1,[0]
HAZARD ART,1,[0]
HEAD,1,[2]
HEAT,1,[1]
HEAVEN,2,"[0, 1]"
HEAVENLY,1,[1]
HEAVY ONES DOWNWARDS,1,[1]
HELL,1,[0]
HELP WHEREOF,1,[0]
HERCULEAN,1,[0]
HERMAPHRODITE,1,[0]
HERMES,1,[0]
HERMETIC,1,[1]
HERMETIC ARCANUM,1,[0]
HERMETIC PHILOSOPHY,1,[0]
