level,community,parent,nodes
0,0,-1,"['14SENSUS COMMUNIS', '25ACIE MENTIS', '27SENSUS COMMUNIS', '28LATIN VERSION', '29SPINI DORSAE MEDULLAM', '2FOR CONVENIENCE SAKE', '9IN PLACE', 'ABCD', 'ABSOLUTE RULES', 'ACTIVE FACULTY', 'ADAM', 'ADDITIONAL READINGS', 'AGREEABLE TASTE', 'AMSTERDAM EDITION', 'CASE NATURE', 'CAUSES MIND', 'CERTAIN DRYNESS', 'CERTAIN HABIT', 'CERTAIN MEMBER', 'CERTAIN MOVEMENT', 'CERTAIN ONES', 'CERTAIN PASSIVE FACULTY', 'CERTAIN SPECIAL RIGHT', 'CERTAIN VARIATIONS', 'CLASSROOM USE', 'COLOSSAL STATUES', 'COMMON SENSE27', 'COMMON UNCERTAINTY', 'COMPUTER PRINTOUTS', 'COMPUTER TEXT FILE', 'COMPUTER TEXT FILES', 'CONSERVATION O', 'COPYRIGHT HOLDER', 'CORPOREAL NATURE', 'CORPOREAL OBJECTS', 'DECEITFUL NATURE', 'DESIRE FOOD', 'DIFFERENT FIGURES', 'DIFFERENT IMPRESSIONS', 'DIFFERENT SORTS', 'DISTANT BODIES', 'DISTINCT CONCEPTION', 'DISTINCT IDEA', 'DIVERSE SENSE- PERCEPTIONS', 'DROPSICAL BODY', 'DROPSICAL PATIENTS', 'EDITION', 'ETERNAL EXISTENCE', 'EXTERNAL OBJECTS', 'EXTERNAL SENSES', 'EXTRINSIC TERM', 'FACULTY RESIDES', 'FALSITY ENTERS', 'FORMAL CONCEPT', 'FRENCH VERSION', 'GOD HIMSELF', 'GOOD HEALTH', 'GREAT DIFFERENCE', 'GREAT INCLINATION', 'GREAT SERVICE', 'GREEN BODY', 'HEALTHY MAN', 'HIMSELF', 'HUNGER CAUSES', 'INCONSIDERATE JUDGMENTS', 'INDIVIDUAL OBJECTS', 'INMOST PARTS', 'INMOST PORTIONS', 'INNUMERABLE EXPERIMENTS', 'INTELLIGENT SUBSTANCE', 'INTERNAL PORTIONS', 'INTERNAL SENSATIONS', 'JAMES FIESER', 'LATIN VERSION', 'LECTOREM', 'LONG TITLE', 'MATTERS BESIDES', 'MERSENNE', 'MIND PAIN', 'MOVEMENT CAUSES', 'NATURE INSPIRES', 'NEW DIFFICULTY', 'NOMINAL DISTRIBUTION COSTS', 'NOTABLE DIFFERENCE', 'NOUS CONCEVONS', 'OBJECTIONS', 'OWN WAY', 'PAINFUL SENSATION', 'PARIS EDITION', 'PARTICULAR SENSATION', 'PARTICULAR THING', 'PARTICULAR WAY', 'PARTS B', 'PAST DAYS', 'PERCEIVE OBJECTS', 'PERCEIVE THINGS', 'PLEASANT TASTE', 'PLEASURABLE SENSATION', 'POSITIVE PROPENSITY', 'PRAEFATIO', 'PURE MATHEMATICS', 'RATIONAL FOUNDATION', 'REAL ERROR', 'REAL MAN', 'REASON CONCLUDE', 'REMOTE PART', 'SAILOR PERCEIVES', 'SENSIBLE OBJECTS', 'SENSIBLE THINGS', 'SICK DESIRE', 'SICK MAN', 'SIMILAR CASES', 'SIMILAR THINGS', 'SOLE GROUND', 'SQUARE BRACKETS', 'SUCH MATTERS', 'SUCH THINGS', 'SUPREME GOODNESS', 'SWEET BODY', 'SYNOPSIS', 'TACTICE QUALITIES', 'TANNERY', 'TERM NATURE', 'THINGS HURTFUL', 'THROAT CAUSES', 'TIME CONTRACT', 'TINY STATUES', 'UNITES EVENTS', 'VERBAL PREDICATE', 'WAY AVAIL', 'WAY REQUISITE', 'WHOLE BODY', 'WHOLE COURSE', 'WHOLE ESSENCE', 'WHOLE MIND']"
0,1,-1,"['HUMAN BODY', 'ABLE ALTOGETHER', 'AGREEABLE ILLUSIONS', 'AGREEABLE SCENT', 'AM', 'ARCH DECEIVER', 'AUTOMATIC MACHINES', 'BAD USAGE', 'BODILY ORGANS', 'CASE STANDS', 'CERTAIN FIGURE', 'CERTAIN GENIUS', 'CERTAIN KINDS', 'CERTAIN LASSITUDE', 'CERTAIN MODES', 'CERTAIN OBJECTS', 'CERTAIN PLACE', 'CERTAIN SPONTANEOUS INCLINATION', 'CERTAIN TIME PRETEND', 'CLEAR KNOWLEDGE', 'COLOUR ALTERS', 'COMMON SENSE14', 'COMMONEST MATTERS', 'CONCEIVE HIGH', 'CONTINUAL SUCCESSION', 'CONTRARY BELIEF', 'CORPOREAL THING', 'DECEIVE ONESELF', 'DEEP WATER', 'DEFINITE CONCLUSION', 'DISTINCT PERCEPTION', 'EVIL GENIUS', 'EVIL THINGS', 'EXCESSIVE DARKNESS', 'EXPRESS PURPOSE', 'EXTERNAL FORMS', 'EXTERNAL THINGS', 'FALLACIOUS MEMORY', 'FALSE THING', 'FAMILIAR CUSTOM', 'FIRM PURPOSE', 'FORMS PART', 'FREEST REIN', 'GENERAL IDEAS', 'GENERAL RULE', 'GREAT FEEBLENESS', 'GROSSER PARTS', 'HEAT INCREASES', 'HUMAN MIND', 'IMAGINARY LIBERTY', 'IMAGINATION10 PROVES', 'IMAGINATIVE FACULTY', 'LABORIOUS WAKEFULNESS', 'LAY TRAPS', 'MANIFEST CONTRADICTION', 'MEASURE DOUBT', 'MEDITATION II', 'MEDITATION III', 'MIND', 'NEW KNOWLEDGE', 'O DECEIVE', 'OBJECT IMPRINTS', 'OBSCURE PART', 'ORDINARY LANGUAGE', 'ORDINARY LIFE', 'OTHERS JUDGMENTS', 'OWN ACCORD', 'OWN MIND', 'PARTICULAR WHITENESS', 'PERFECT CONCEPTION', 'PERFECT DISTINCTNESS', 'PRECISE SENSE', 'PRECISE SIGNIFICANCE', 'PRESENT CONCEPTION', 'PRESENT YIELD', 'PRINCIPAL ERROR', 'PROPER OCCASION', 'REAL NATURE', 'REAL THING', 'REASONABLE ANIMAL', 'RID ONESELF', 'RIGHT KNOWLEDGE', 'SIMILAR CHANGES', 'SIZE INCREASES', 'SLIGHTEST DOUBT', 'SMALL DEGREE', 'SMALL MATTER', 'SOVEREIGN POWER', 'SUBTLE AIR', 'SUCH CONCEPTIONS', 'SUCH THING', 'TERM ADVENTITIOUS', 'TERM FEIGN', 'TERRESTRIAL GLOBE', 'THINGS PERTAIN', 'TRIANGULAR FIGURE', 'TRUE ORIGIN', 'UNRAVEL SUBTLETIES', 'UTMOST DILIGENCE', 'WAX EXISTS', 'WHOLE ENERGIES']"
0,2,-1,"['CORPOREAL THINGS', 'GOD', 'BODY', 'CERTAIN THINGS', 'HIM', 'MEDITATION', 'NATURAL LIGHT', 'OWN NATURE', 'PRINCIPAL TASK', 'ABSTRACT MATHEMATICS', 'ATTRIBUTE EXISTENCE', 'BODIES TRIANGULAR', 'BODY EXISTS', 'CERTAIN APPLICATION', 'CERTAIN CORPOREAL INCLINATIONS', 'CERTAIN DETERMINATE NATURE', 'CERTAIN FEELING', 'CERTAIN KNOWLEDGE', 'CERTAIN PARTS', 'CERTAIN PERFECTION', 'CERTAIN PROOF', 'CERTAIN REPRESENTATION', 'CERTAIN SENSE', 'CERTAIN WEAKNESS', 'CHARACTERISTIC NATURE', 'CONTINUAL PRESSURE', 'CONTRARY REASON', 'CONVENIENT MODE', 'DIFFERENT PARTS', 'DIFFERENT WAYS', 'DISTINCT CONCEPTION20', 'DISTINCT INTELLIGENCE', 'DISTINCT KNOWLEDGE', 'DISTINCT UNDERSTANDING', 'DIVERSE PROPERTIES', 'DIVINE GRACE', 'EXISTENCE', 'EXISTENCE PERTAINS', 'FALSE SUPPOSITIONS', 'FINITE UNDERSTANDING', 'FIRM GRASP', 'FORCE CONSTRAINS', 'FORMAL REASON', 'FREE CHOICE', 'GEOMETRY RECOGNISE', 'GOOD USE', 'GREAT CLEARNESS', 'GREAT EXPERIENCE', 'IMMUTABLE NATURE', 'INDUBITABLE REASONS', 'INTELLECTUAL ACTIVITY', 'INTELLECTUAL MATTERS', 'INWARD VISION', 'LOCAL MOVEMENT', 'LONG AS22', 'MATERIAL', 'MEDITATION VI', 'NATURAL KNOWLEDGE', 'NECESSARY ELEMENT', 'NECESSITY SUFFICES', 'OBJECTION HOLD GOOD', 'OCCASION RESUME', 'ONLY MANIFEST', 'ORIGINAL SUPPOSITION', 'PARTICULAR EFFORT', 'PAST JUDGMENT', 'PERFECT CLEARNESS', 'PERFECT KNOWLEDGE', 'PERFECTION ACCRUES', 'PRINCIPAL PERFECTION', 'PROPER SIGNIFICATION', 'PURE INTELLECTION', 'PURE NEGATION', 'PURE NEGATIONS', 'QUADRILATERAL FIGURE', 'QUADRILATERAL FIGURES', 'REAL DISTINCTION', 'RECTILINEAR FIGURE', 'REGARDS FIGURES', 'REMARK BESIDES', 'RIGHT ANGLES', 'SENSE PERCEPTION', 'SIMILAR APPETITES', 'SIMILAR PASSIONS', 'SIMPLE KNOWLEDGE', 'SMALL EXTENT', 'SOLE FACT', 'SOLE REASON', 'STRENUOUS APPLICATION', 'SUCH ALLEGATIONS', 'SUCH OBJECTS', 'SUFFICIENT CLEARNESS', 'SUPREME PERFECTION', 'THINGS BESIDES', 'TIME PERCEIVE THINGS', 'TRUE IDEAS', 'VARIOUS PROPERTIES', 'WAY DIFFERS', 'WHEREUPON', 'WHOLE UNIVERSE', 'WINGS EXISTS', 'WORD ERROR']"
0,3,-1,"['ACTIVE CHOICE', 'ADVENTITIOUS IDEAS', 'ASTRONOMICAL REASONINGS', 'BLIND IMPULSE', 'CAREFUL INVESTIGATION EVERYWHERE', 'CERTAIN CAPACITY', 'CERTAIN DISPOSITIONS', 'CERTAIN MATERIAL FALSITY', 'CERTAIN NEGATIVE IDEA', 'CERTAIN NOTIONS', 'CERTAIN OBJECTIVE REALITY', 'CONTRARY IMMENSE', 'CORPOREAL SUBSTANCE', 'CREATOR', 'DIFFERENT FIGURE', 'DIFFICULTY ABSTRACT', 'DIMPLE DEFECT', 'DISTINGUISH TRUTH', 'DIVERSE IDEAS', 'DIVINE', 'DIVINE MAJESTY', 'DOUBT TESTIFIES', 'EXCELLENT THINGS', 'EXPERIENCE SHOWS', 'EXTERNAL ORGANS', 'FALSE', 'FINITE SUBSTANCES', 'FORMAL EXISTENCE PERTAIN TOT', 'FORMAL FALSITY', 'FORMAL REALITY', 'GREAT THINGS', 'GREAT UNIVERSE', 'HUMAN MIND INASMUCH', 'IDEA CONTAINS', 'IMAGINABLE OBJECTS', 'INANIMATE THINGS', 'INFINITE NUMBER', 'INFINITE POWER', 'INFINITE SUBSTANCE', 'INSEPARABLE UNITY', 'LIGHT SHOWS', 'MAGNITUDE', 'MARVELLOUS ATTRIBUTES', 'MEDITATION IV', 'NATURAL IMPULSES', 'NATURAL LIGHT CAUSES', 'NATURE CAUSES', 'NATURE SHOWS', 'NECESSARY CONSEQUENCE', 'NECESSITY CONCLUDE', 'NEW DEGREES', 'OBJECTIVE EXISTENCE PERTAINS', 'OBJECTIVE REALITY', 'OTHERS ANGELS', 'OTHERS ANIMALS', 'OWN EXISTENCE', 'PERCEIVE REPOSE', 'POSITIVE IDEA', 'PRESENT IDENTIFY', 'PRINCIPAL PERFECTIONS', 'PROPER NATURE', 'REAL OBJECTS', 'REAL QUALITIES', 'REASON SUFFICES', 'RECOGNISE AMONGST', 'REGARDS TRUTH', 'SELF- EXISTENCE', 'SHORT TIME', 'SIMILAR IDEAS', 'SIMILAR MEDITATION', 'SPECIAL FACULTY', 'SUFFICIENT ARGUMENT', 'SUPREME FELICITY', 'SUPREME PERFECTIONS', 'TACTILE QUALITIES', 'TRUE', 'TRUE IDEA', 'USEFUL EMPLOYMENT', 'VARIOUS THOUGHTS', 'WHOLE STRENGTH']"
0,4,-1,"['NON- EXISTENT', 'EVIDENT KNOWLEDGE', 'MATERIAL THINGS', 'SOUL', 'PRESENT TIME', 'ALTERNATIVE READING', 'AMONGST', 'AMPLE EXPLANATION', 'AMSTERDAM', 'APOLLONIUS', 'APPROBATIONE DOCTORUM', 'ARCHIMEDES', 'ARITHMETIC', 'ASTRONOMY', 'BLACK BILE', 'CAMBRIDGE', 'CATHOLIC CHURCH', 'CERTAIN CONFIGURATION', 'CERTAIN DEMONSTRATION', 'CERTAIN DEMONSTRATIONS', 'CERTAIN DIFFICULTIES', 'CERTAIN INDICATIONS', 'CERTAIN MEDLEY', 'CERTAIN PERSONS', 'CERTAIN REAL COLOURS', 'CHARMING COUNTRY HOUSE', 'CHRISTIAN PHILOSOPHERS', 'CLERSELIER', 'COMPLETE MATTERS', 'COMPLETE SYSTEM', 'COMPOSITE THINGS', 'COPYRIGHT', 'DESCARTES', 'DIFFERENT ANIMALS', 'DIFFERENT REASONS', 'DIFFERENT THING', 'DISCOURSE', 'DISTINGUISH WAKEFULNESS', 'DIVERSE SUBSTANCES', 'DOUBT', 'DUC', 'DUTCH', 'EARTHENWARE HEAD', 'ENDEGEEST', 'EVIDENT FACTS', 'EXACT CONNECTION', 'EXACT DEMONSTRATIONS', 'EYES AWAKE', 'FAITH', 'FAITHFUL ONES', 'FALSE BELIEFS', 'FALSE DELUSIONS', 'FALSE OPINIONS', 'FEEBLER MINDS', 'FOLLOWING MEDITATIONS', 'FOURTH MEDIATION', 'FRANCE', 'FRENCH EDITION', 'GENERAL THINGS', 'GENERAL UPHEAVAL', 'GEOMETRICAL DEMONSTRATIONS', 'GEOMETRY', 'GREAT MEN', 'GREAT TROUBLE', 'HENCE', 'HOLLAND', 'HOWBEIT', 'HUMAN REASONS', 'HUMAN SOUL', 'HUMAN SOUL DIFFERS', 'IDEA EXISTS', 'IMAGINARY THINGS', 'IMPIOUS PERSONS', 'INDEFINITE KIND', 'INTERNET ENCYCLOPEDIA', 'LATERAN', 'LEIDEN', 'LENGTHY WORKS', 'LEO', 'LEO X', 'LORD THEREOF', 'LOUIS ELZEVIR', 'LUYNES', 'MEDICINE', 'MEDITATIONS', 'METAPHYSICAL SPECULATIONS', 'METHOD', 'MICHAEL SOLY', 'MIND CRITICISMS', 'MM', 'MORAL VIRTUE', 'NATURAL REASON', 'NATURE IMMORTAL', 'NATURE INCORRUPTIBLE', 'NEW ONES', 'NEW PROOF', 'OBJECTIVE CONTRIVANCE', 'ORDINARY ATHEISTIC SOURCES', 'ORDINARY PATH', 'OTHERS DECEIVE', 'OWN POWERS', 'PAPPUS', 'PARIS', 'PARTICULAR PLACE', 'PEACEABLE RETIREMENT', 'PERCEIVE OTHERS', 'PERE MERSENNE', 'PERFECT MACHINE', 'PERFECT POSSESSES', 'PERMANENT STRUCTURE', 'PHILOSOPHICAL', 'PHILOSOPHY', 'PHILOSOPHY RENE DESCARTES', 'PHOENIX', 'PLACE ATTACK', 'POSSIBLE CONCEPTION', 'PRESENT MATTER', 'PRESENT TRANSLATION', 'PRINCIPAL ARGUMENT', 'PRINCIPAL MATTER', 'PRINCIPAL ONES', 'PRINCIPAL REASON', 'PRIVILEGIO', 'PROBABLE THINGS', 'PUBLIC TESTIMONY', 'PURE SUBSTANCE', 'READER', 'REASON', 'REGARD MIND', 'REGARDS HUMAN PHILOSOPHY', 'REVISION RENDERS', 'SACRED COUNCILS', 'SCRIPTURES', 'SIGN', 'SIMILAR ACCIDENTS', 'SIMILAR ILLUSIONS', 'SIMILAR MATTERS', 'SIMILAR ORDER', 'SIMPLE CONSIDERATION', 'SIMPLE WAY', 'SINGULAR WISDOM', 'SMALL NUMBER', 'SOLE AID', 'SOLOMON', 'SORBONNE', 'SPECULATIVE TRUTHS', 'SUCH ARGUMENTS', 'SUCH IMPORTANCE', 'SUCH MEN', 'SUFFICIENT LENGTH', 'TERM IDEA', 'THEOLOGICAL ARGUMENT', 'THINGS PERTAINS CORPOREAL NATURE', 'TO-DAY', 'TOT HEIR CONSIDERATION', 'TREATISE', 'TRUE DISTINCTION', 'UNIVERSITY PRESS', 'VERITABLE DEMONSTRATIONS', 'VIOLENT VAPOURS', 'WHOLE MATTER', 'WISDOM', 'WORTHY SUPPORTS']"
1,5,0,"['ADAM', 'DISTINCT CONCEPTION', 'OBJECTIONS', 'SQUARE BRACKETS', 'SYNOPSIS', 'TANNERY', 'WHOLE BODY']"
1,6,0,"['CORPOREAL NATURE', 'CORPOREAL OBJECTS', 'DISTINCT IDEA', 'EXTERNAL OBJECTS', 'GOD HIMSELF', 'GREAT DIFFERENCE', 'GREAT INCLINATION', 'HIMSELF', 'NOTABLE DIFFERENCE', 'PAST DAYS', 'PURE MATHEMATICS', 'SENSIBLE OBJECTS', 'SENSIBLE THINGS', 'SUCH THINGS', 'TACTICE QUALITIES']"
1,7,0,"['14SENSUS COMMUNIS', '25ACIE MENTIS', '27SENSUS COMMUNIS', '28LATIN VERSION', '29SPINI DORSAE MEDULLAM', '2FOR CONVENIENCE SAKE', '9IN PLACE', 'ABCD', 'ABSOLUTE RULES', 'ACTIVE FACULTY', 'ADDITIONAL READINGS', 'AGREEABLE TASTE', 'AMSTERDAM EDITION', 'CASE NATURE', 'CAUSES MIND', 'CERTAIN DRYNESS', 'CERTAIN HABIT', 'CERTAIN MEMBER', 'CERTAIN MOVEMENT', 'CERTAIN ONES', 'CERTAIN PASSIVE FACULTY', 'CERTAIN SPECIAL RIGHT', 'CERTAIN VARIATIONS', 'CLASSROOM USE', 'COLOSSAL STATUES', 'COMMON SENSE27', 'COMMON UNCERTAINTY', 'COMPUTER PRINTOUTS', 'COMPUTER TEXT FILE', 'COMPUTER TEXT FILES', 'CONSERVATION O', 'COPYRIGHT HOLDER', 'DECEITFUL NATURE', 'DESIRE FOOD', 'DIFFERENT FIGURES', 'DIFFERENT IMPRESSIONS', 'DIFFERENT SORTS', 'DISTANT BODIES', 'DIVERSE SENSE- PERCEPTIONS', 'DROPSICAL BODY', 'DROPSICAL PATIENTS', 'EDITION', 'ETERNAL EXISTENCE', 'EXTERNAL SENSES', 'EXTRINSIC TERM', 'FACULTY RESIDES', 'FALSITY ENTERS', 'FORMAL CONCEPT', 'FRENCH VERSION', 'GOOD HEALTH', 'GREAT SERVICE', 'GREEN BODY', 'HEALTHY MAN', 'HUNGER CAUSES', 'INCONSIDERATE JUDGMENTS', 'INDIVIDUAL OBJECTS', 'INMOST PARTS', 'INMOST PORTIONS', 'INNUMERABLE EXPERIMENTS', 'INTELLIGENT SUBSTANCE', 'INTERNAL PORTIONS', 'INTERNAL SENSATIONS', 'JAMES FIESER', 'LATIN VERSION', 'LECTOREM', 'LONG TITLE', 'MATTERS BESIDES', 'MERSENNE', 'MIND PAIN', 'MOVEMENT CAUSES', 'NATURE INSPIRES', 'NEW DIFFICULTY', 'NOMINAL DISTRIBUTION COSTS', 'NOUS CONCEVONS', 'OWN WAY', 'PAINFUL SENSATION', 'PARIS EDITION', 'PARTICULAR SENSATION', 'PARTICULAR THING', 'PARTICULAR WAY', 'PARTS B', 'PERCEIVE OBJECTS', 'PERCEIVE THINGS', 'PLEASANT TASTE', 'PLEASURABLE SENSATION', 'POSITIVE PROPENSITY', 'PRAEFATIO', 'RATIONAL FOUNDATION', 'REAL ERROR', 'REAL MAN', 'REASON CONCLUDE', 'REMOTE PART', 'SAILOR PERCEIVES', 'SICK DESIRE', 'SICK MAN', 'SIMILAR CASES', 'SIMILAR THINGS', 'SOLE GROUND', 'SUCH MATTERS', 'SUPREME GOODNESS', 'SWEET BODY', 'TERM NATURE', 'THINGS HURTFUL', 'THROAT CAUSES', 'TIME CONTRACT', 'TINY STATUES', 'UNITES EVENTS', 'VERBAL PREDICATE', 'WAY AVAIL', 'WAY REQUISITE', 'WHOLE COURSE', 'WHOLE ESSENCE', 'WHOLE MIND']"
1,8,1,"['HUMAN BODY', 'ABLE ALTOGETHER', 'AGREEABLE ILLUSIONS', 'AGREEABLE SCENT', 'AM', 'ARCH DECEIVER', 'AUTOMATIC MACHINES', 'BAD USAGE', 'BODILY ORGANS', 'CASE STANDS', 'CERTAIN FIGURE', 'CERTAIN GENIUS', 'CERTAIN KINDS', 'CERTAIN LASSITUDE', 'CERTAIN OBJECTS', 'CERTAIN PLACE', 'CERTAIN TIME PRETEND', 'CLEAR KNOWLEDGE', 'COLOUR ALTERS', 'COMMON SENSE14', 'COMMONEST MATTERS', 'CONCEIVE HIGH', 'CONTINUAL SUCCESSION', 'CONTRARY BELIEF', 'DECEIVE ONESELF', 'DEEP WATER', 'DEFINITE CONCLUSION', 'DISTINCT PERCEPTION', 'EVIL GENIUS', 'EVIL THINGS', 'EXCESSIVE DARKNESS', 'EXPRESS PURPOSE', 'EXTERNAL FORMS', 'FALLACIOUS MEMORY', 'FALSE THING', 'FAMILIAR CUSTOM', 'FIRM PURPOSE', 'FORMS PART', 'FREEST REIN', 'GENERAL IDEAS', 'GENERAL RULE', 'GREAT FEEBLENESS', 'GROSSER PARTS', 'HEAT INCREASES', 'IMAGINARY LIBERTY', 'IMAGINATION10 PROVES', 'IMAGINATIVE FACULTY', 'LABORIOUS WAKEFULNESS', 'LAY TRAPS', 'MANIFEST CONTRADICTION', 'MEASURE DOUBT', 'MEDITATION II', 'MEDITATION III', 'MIND', 'NEW KNOWLEDGE', 'O DECEIVE', 'OBSCURE PART', 'ORDINARY LANGUAGE', 'ORDINARY LIFE', 'OTHERS JUDGMENTS', 'OWN ACCORD', 'OWN MIND', 'PARTICULAR WHITENESS', 'PERFECT CONCEPTION', 'PERFECT DISTINCTNESS', 'PRECISE SENSE', 'PRECISE SIGNIFICANCE', 'PRESENT CONCEPTION', 'PRESENT YIELD', 'PRINCIPAL ERROR', 'PROPER OCCASION', 'REAL NATURE', 'REASONABLE ANIMAL', 'RID ONESELF', 'RIGHT KNOWLEDGE', 'SIMILAR CHANGES', 'SIZE INCREASES', 'SLIGHTEST DOUBT', 'SMALL DEGREE', 'SMALL MATTER', 'SOVEREIGN POWER', 'SUBTLE AIR', 'SUCH CONCEPTIONS', 'SUCH THING', 'TERM ADVENTITIOUS', 'TERM FEIGN', 'TERRESTRIAL GLOBE', 'THINGS PERTAIN', 'TRIANGULAR FIGURE', 'TRUE ORIGIN', 'UNRAVEL SUBTLETIES', 'UTMOST DILIGENCE', 'WAX EXISTS', 'WHOLE ENERGIES']"
1,9,1,"['CERTAIN MODES', 'CERTAIN SPONTANEOUS INCLINATION', 'CORPOREAL THING', 'EXTERNAL THINGS', 'HUMAN MIND', 'OBJECT IMPRINTS', 'REAL THING']"
