source,target,weight,text_unit_ids
14SENSUS COMMUNIS,25ACIE MENTIS,7.369381519801943e-05,[4]
14SENSUS COMMUNIS,27SENSUS COMMUNIS,7.369381519801943e-05,[4]
14SENSUS COMMUNIS,28LATIN VERSION,7.369381519801943e-05,[4]
14SENSUS COMMUNIS,29SPINI DORSAE MEDULLAM,7.369381519801943e-05,[4]
14SENSUS COMMUNIS,2FOR CONVENIENCE SAKE,7.369381519801943e-05,[4]
14SENSUS COMMUNIS,9IN PLACE,7.369381519801943e-05,[4]
14SENSUS COMMUNIS,ABCD,7.369381519801943e-05,[4]
14SENSUS COMMUNIS,ABSOLUTE RULES,7.369381519801943e-05,[4]
14SENSUS COMMUNIS,ACTIVE FACULTY,7.369381519801943e-05,[4]
14SENSUS COMMUNIS,ADAM,5.117332154879864e-05,[4]
14SENSUS COMMUNIS,ADDITIONAL READINGS,7.369381519801943e-05,[4]
14SENSUS COMMUNIS,AGREEABLE TASTE,7.369381519801943e-05,[4]
14SENSUS COMMUNIS,AMSTERDAM EDITION,7.369381519801943e-05,[4]
14SENSUS COMMUNIS,CASE NATURE,7.369381519801943e-05,[4]
14SENSUS COMMUNIS,CAUSES MIND,7.369381519801943e-05,[4]
14SENSUS COMMUNIS,CERTAIN DRYNESS,7.369381519801943e-05,[4]
14SENSUS COMMUNIS,CERTAIN HABIT,7.369381519801943e-05,[4]
14SENSUS COMMUNIS,CERTAIN MEMBER,7.369381519801943e-05,[4]
14SENSUS COMMUNIS,CERTAIN MOVEMENT,7.369381519801943e-05,[4]
14SENSUS COMMUNIS,CERTAIN ONES,7.369381519801943e-05,[4]
14SENSUS COMMUNIS,CERTAIN PASSIVE FACULTY,7.369381519801943e-05,[4]
14SENSUS COMMUNIS,CERTAIN SPECIAL RIGHT,7.369381519801943e-05,[4]
14SENSUS COMMUNIS,CERTAIN VARIATIONS,7.369381519801943e-05,[4]
14SENSUS COMMUNIS,CLASSROOM USE,7.369381519801943e-05,[4]
14SENSUS COMMUNIS,COLOSSAL STATUES,7.369381519801943e-05,[4]
14SENSUS COMMUNIS,COMMON SENSE27,7.369381519801943e-05,[4]
14SENSUS COMMUNIS,COMMON UNCERTAINTY,7.369381519801943e-05,[4]
14SENSUS COMMUNIS,COMPUTER PRINTOUTS,7.369381519801943e-05,[4]
14SENSUS COMMUNIS,COMPUTER TEXT FILE,7.369381519801943e-05,[4]
14SENSUS COMMUNIS,COMPUTER TEXT FILES,7.369381519801943e-05,[4]
14SENSUS COMMUNIS,CONSERVATION O,7.369381519801943e-05,[4]
14SENSUS COMMUNIS,COPYRIGHT HOLDER,7.369381519801943e-05,[4]
14SENSUS COMMUNIS,CORPOREAL NATURE,3.799967726627553e-05,[4]
14SENSUS COMMUNIS,CORPOREAL OBJECTS,3.799967726627553e-05,[4]
14SENSUS COMMUNIS,CORPOREAL THINGS,2.140284828316126e-05,[4]
14SENSUS COMMUNIS,DECEITFUL NATURE,7.369381519801943e-05,[4]
14SENSUS COMMUNIS,DESIRE FOOD,7.369381519801943e-05,[4]
14SENSUS COMMUNIS,DIFFERENT FIGURES,7.369381519801943e-05,[4]
14SENSUS COMMUNIS,DIFFERENT IMPRESSIONS,7.369381519801943e-05,[4]
14SENSUS COMMUNIS,DIFFERENT SORTS,7.369381519801943e-05,[4]
14SENSUS COMMUNIS,DISTANT BODIES,7.369381519801943e-05,[4]
14SENSUS COMMUNIS,DISTINCT CONCEPTION,5.117332154879864e-05,[4]
14SENSUS COMMUNIS,DISTINCT IDEA,3.799967726627553e-05,[4]
14SENSUS COMMUNIS,DIVERSE SENSE- PERCEPTIONS,7.369381519801943e-05,[4]
14SENSUS COMMUNIS,DROPSICAL BODY,7.369381519801943e-05,[4]
14SENSUS COMMUNIS,DROPSICAL PATIENTS,7.369381519801943e-05,[4]
14SENSUS COMMUNIS,EDITION,7.369381519801943e-05,[4]
