title,frequency,text_unit_ids
14SENSUS COMMUNIS,1,[4]
25ACIE MENTIS,1,[4]
27SENSUS COMMUNIS,1,[4]
28LATIN VERSION,1,[4]
29SPINI DORSAE MEDULLAM,1,[4]
2FOR CONVENIENCE SAKE,1,[4]
9IN PLACE,1,[4]
ABCD,1,[4]
ABLE ALTOGETHER,1,[1]
ABSOLUTE RULES,1,[4]
ABSTRACT MATHEMATICS,1,[3]
ACTIVE CHOICE,1,[2]
ACTIVE FACULTY,1,[4]
ADAM,2,"[0, 4]"
ADDITIONAL READINGS,1,[4]
ADVENTITIOUS IDEAS,1,[2]
AGREEABLE ILLUSIONS,1,[1]
AGREEABLE SCENT,1,[1]
AGREEABLE TASTE,1,[4]
ALTERNATIVE READING,1,[0]
AM,1,[1]
AMONGST,1,[0]
AMPLE EXPLANATION,1,[0]
AMSTERDAM,1,[0]
AMSTERDAM EDITION,1,[4]
APOLLONIUS,1,[0]
APPROBATIONE DOCTORUM,1,[0]
ARCH DECEIVER,1,[1]
ARCHIMEDES,1,[0]
ARITHMETIC,1,[0]
ASTRONOMICAL REASONINGS,1,[2]
ASTRONOMY,1,[0]
ATTRIBUTE EXISTENCE,1,[3]
AUTOMATIC MACHINES,1,[1]
BAD USAGE,1,[1]
BLACK BILE,1,[0]
BLIND IMPULSE,1,[2]
BODIES TRIANGULAR,1,[3]
BODILY ORGANS,1,[1]
BODY,3,"[0, 1, 3]"
BODY EXISTS,1,[3]
CAMBRIDGE,1,[0]
CAREFUL INVESTIGATION EVERYWHERE,1,[2]
CASE NATURE,1,[4]
CASE STANDS,1,[1]
CATHOLIC CHURCH,1,[0]
CAUSES MIND,1,[4]
CERTAIN APPLICATION,1,[3]
CERTAIN CAPACITY,1,[2]
CERTAIN CONFIGURATION,1,[0]
CERTAIN CORPOREAL INCLINATIONS,1,[3]
CERTAIN DEMONSTRATION,1,[0]
CERTAIN DEMONSTRATIONS,1,[0]
CERTAIN DETERMINATE NATURE,1,[3]
CERTAIN DIFFICULTIES,1,[0]
CERTAIN DISPOSITIONS,1,[2]
CERTAIN DRYNESS,1,[4]
CERTAIN FEELING,1,[3]
CERTAIN FIGURE,1,[1]
CERTAIN GENIUS,1,[1]
CERTAIN HABIT,1,[4]
CERTAIN INDICATIONS,1,[0]
CERTAIN KINDS,1,[1]
CERTAIN KNOWLEDGE,1,[3]
CERTAIN LASSITUDE,1,[1]
CERTAIN MATERIAL FALSITY,1,[2]
CERTAIN MEDLEY,1,[0]
CERTAIN MEMBER,1,[4]
CERTAIN MODES,2,"[1, 2]"
