source,target,weight,text_unit_ids
ACKNOW- LEDGES,ADAM,4.3761176404621315e-05,[0]
ACKNOW- LEDGES,ADMIRABLE COMPOUND,4.3761176404621315e-05,[0]
ACKNOW- LEDGES,ALCAHEST,4.3761176404621315e-05,[0]
ACKNOW- LEDGES,ARGENT,4.3761176404621315e-05,[0]
ACKNOW- LEDGES,ART,4.3761176404621315e-05,[0]
ACKNOW- LEDGES,ARTEFIUS,4.3761176404621315e-05,[0]
ACKNOW- LEDGES,ARTIST CUTS,4.3761176404621315e-05,[0]
ACKNOW- LEDGES,ASTRAL,4.3761176404621315e-05,[0]
ACKNOW- LEDGES,BALM,4.3761176404621315e-05,[0]
ACKNOW- LEDGES,BATH,4.3761176404621315e-05,[0]
ACKNOW- LEDGES,BLACK,4.3761176404621315e-05,[0]
ACKNOW- LEDGES,BLACK DRAGON,4.3761176404621315e-05,[0]
ACKNOW- LEDGES,BLACK FAECES,4.3761176404621315e-05,[0]
ACKNOW- LEDGES,BLACKEST BLACK,4.3761176404621315e-05,[0]
ACKNOW- LEDGES,BODY,4.3761176404621315e-05,[0]
ACKNOW- LEDGES,BOIL,4.3761176404621315e-05,[0]
ACKNOW- LEDGES,BRIGHTNESS WHEREWITH,4.3761176404621315e-05,[0]
ACKNOW- LEDGES,CELESTIAL WATER,4.3761176404621315e-05,[0]
ACKNOW- LEDGES,CHALYBES,4.3761176404621315e-05,[0]
ACKNOW- LEDGES,CHASTE DIANA,4.3761176404621315e-05,[0]
ACKNOW- LEDGES,CLEAR FOUNTAIN,4.3761176404621315e-05,[0]
ACKNOW- LEDGES,COMMON CALCINATION,4.3761176404621315e-05,[0]
ACKNOW- LEDGES,COMMON VINEGAR,4.3761176404621315e-05,[0]
ACKNOW- LEDGES,COMPOUND,4.3761176404621315e-05,[0]
ACKNOW- LEDGES,CONVENIENT DIGESTION,4.3761176404621315e-05,[0]
ACKNOW- LEDGES,CONVERT,4.3761176404621315e-05,[0]
ACKNOW- LEDGES,COSMOPOLITE,4.3761176404621315e-05,[0]
ACKNOW- LEDGES,CROW,4.3761176404621315e-05,[0]
ACKNOW- LEDGES,CULTIVATE,4.3761176404621315e-05,[0]
ACKNOW- LEDGES,DARK PRISONS,4.3761176404621315e-05,[0]
ACKNOW- LEDGES,DIFFERENT DEGREES,4.3761176404621315e-05,[0]
ACKNOW- LEDGES,DIFFERENT GENDERS,4.3761176404621315e-05,[0]
ACKNOW- LEDGES,DIFFERENT NAMES,4.3761176404621315e-05,[0]
ACKNOW- LEDGES,DIFFERENT SUBSTANCES,4.3761176404621315e-05,[0]
ACKNOW- LEDGES,DIVINE,4.3761176404621315e-05,[0]
ACKNOW- LEDGES,DIVINE WATER,4.3761176404621315e-05,[0]
ACKNOW- LEDGES,DREDGY EARTH,4.3761176404621315e-05,[0]
ACKNOW- LEDGES,DRY WATER,4.3761176404621315e-05,[0]
ACKNOW- LEDGES,EARTH,4.3761176404621315e-05,[0]
ACKNOW- LEDGES,ELEMENTARY FIRE,4.3761176404621315e-05,[0]
ACKNOW- LEDGES,EQUIVOCAL TERMS,4.3761176404621315e-05,[0]
ACKNOW- LEDGES,ESSENTIAL POINT,4.3761176404621315e-05,[0]
ACKNOW- LEDGES,ESSENTIAL THING,4.3761176404621315e-05,[0]
ACKNOW- LEDGES,EUDOXUS,4.3761176404621315e-05,[0]
ACKNOW- LEDGES,EUDOXUS THE FIRST KEY,4.3761176404621315e-05,[0]
ACKNOW- LEDGES,EXACT PURIFICATION,4.3761176404621315e-05,[0]
ACKNOW- LEDGES,EXTERNAL THINGS,4.3761176404621315e-05,[0]
