source,target,weight,text_unit_ids
5TH CHAPTER,ACCIDENTAL DIFFERENCES,2.7331606912463438e-05,[0]
5TH CHAPTER,ACCOMPLISHES GEAT MARVELS,2.7331606912463438e-05,[0]
5TH CHAPTER,ACTIVE ELEMENTS,2.7331606912463438e-05,[0]
5TH CHAPTER,ACTIVE FORCE,2.7331606912463438e-05,[0]
5TH CHAPTER,ACTIVE MOVEMENTS,2.7331606912463438e-05,[0]
5TH CHAPTER,ADDUCE HUNDREDS,2.7331606912463438e-05,[0]
5TH CHAPTER,AFORESAID EARTHY PARTICLES,2.7331606912463438e-05,[0]
5TH CHAPTER,AFORESAID WATER,2.7331606912463438e-05,[0]
5TH CHAPTER,ALCHEMY,8.039250544056598e-06,[0]
5TH CHAPTER,ALEXANDER,2.7331606912463438e-05,[0]
5TH CHAPTER,ALUM,2.7331606912463438e-05,[0]
5TH CHAPTER,ANCIENT PHILOSOPHY,2.7331606912463438e-05,[0]
5TH CHAPTER,ANTHOLOGY,2.7331606912463438e-05,[0]
5TH CHAPTER,ANTIMONY,2.7331606912463438e-05,[0]
5TH CHAPTER,AQUA FORTIS,2.7331606912463438e-05,[0]
5TH CHAPTER,ARAGON,2.7331606912463438e-05,[0]
5TH CHAPTER,ARISTOTLE,2.7331606912463438e-05,[0]
5TH CHAPTER,ARNOLD,2.7331606912463438e-05,[0]
5TH CHAPTER,ART,8.039250544056598e-06,[0]
5TH CHAPTER,ASTRATUS,2.7331606912463438e-05,[0]
5TH CHAPTER,AVICENNA,8.039250544056598e-06,[0]
5TH CHAPTER,AZOTH,2.7331606912463438e-05,[0]
5TH CHAPTER,BARABBAS,2.7331606912463438e-05,[0]
5TH CHAPTER,BEGOTTEN THEE,2.7331606912463438e-05,[0]
5TH CHAPTER,BERNARD,2.7331606912463438e-05,[0]
5TH CHAPTER,BODIES SUBTLE,2.7331606912463438e-05,[0]
5TH CHAPTER,BODILY SUBSTANCE,8.039250544056598e-06,[0]
5TH CHAPTER,BOHEMIA,2.7331606912463438e-05,[0]
5TH CHAPTER,BOOK OBSERVES,2.7331606912463438e-05,[0]
5TH CHAPTER,BROAD LAW,2.7331606912463438e-05,[0]
5TH CHAPTER,BU AQUEOUS IMMATURITY,2.7331606912463438e-05,[0]
5TH CHAPTER,CALID,2.7331606912463438e-05,[0]
