title,frequency,text_unit_ids
5TH CHAPTER,1,[0]
ACCIDENTAL DIFFERENCES,1,[0]
ACCOMPLISHES GEAT MARVELS,1,[0]
ACTIVE ELEMENTS,1,[0]
ACTIVE FORCE,1,[0]
ACTIVE MOVEMENTS,1,[0]
ADDUCE HUNDREDS,1,[0]
AFORESAID EARTHY PARTICLES,1,[0]
AFORESAID WATER,1,[0]
ALCHEMY,2,"[0, 1]"
ALEXANDER,1,[0]
ALUM,1,[0]
ANCIENT PHILOSOPHY,1,[0]
ANTHOLOGY,1,[0]
ANTIMONY,1,[0]
AQUA FORTIS,1,[0]
ARAGON,1,[0]
ARISTOTLE,1,[0]
ARNOLD,1,[0]
ART,2,"[0, 1]"
ASTRATUS,1,[0]
AVICENNA,2,"[0, 1]"
AZOTH,1,[0]
BARABBAS,1,[0]
BE,1,[1]
BEGOTTEN THEE,1,[0]
BERNARD,1,[0]
BODIES SUBTLE,1,[0]
BODIES TILL,1,[1]
BODILY SUBSTANCE,2,"[0, 1]"
BOHEMIA,1,[0]
BOOK OBSERVES,1,[0]
BROAD LAW,1,[0]
BU AQUEOUS IMMATURITY,1,[0]
CALID,1,[0]
CERTAIN CLASS,1,[0]
CERTAIN EXTENT IMPURE,1,[0]
CERTAIN SPECIFIC CHARACTER,1,[0]
CERTAIN TENDENCY,1,[0]
CHAMBAR,1,[0]
CHAOS,1,[0]
CHAPTER I,1,[0]
CHAPTER III,1,[0]
CHAPTER VI,1,[0]
CHASTE UNION,1,[0]
CHEMICAL OPERATIONS,1,[0]
CHRIST,1,[0]
CLEAR LIMPID WATER,1,[0]
CLEAR WATER,1,[0]
CODE,1,[0]
COMBUSTIBLE SULPHUR,1,[0]
COMMON GENERATION,1,[1]
COMPLETE COMPLEXION,1,[0]
COPPER COAGULATES,1,[1]
CORROSIVE WATERS,1,[0]
CRUDE BODY,1,[1]
DAMP SPOT,1,[0]
DANTIUS,1,[0]
DEAD BODY,1,[0]
DIFFERENCE EXISTS,1,[0]
DIFFERENT,1,[0]
DIFFERENT BRANCHES,1,[0]
DIFFERENT COUNTRIES,1,[0]
DIFFERENT DEGREES,1,[0]
DIFFERENT METALS,1,[0]
DIFFERENT SPECIES,1,[0]
